Sentence,Negative Connotations
"ты где пдд учил,который фонари хотел побить.себе...опу прострели,таких как ты бить надо,сядь на фуру и проедь.","фонари хотел побить,опу прострели,бить надо"
козел тварь убил человека алкаш наркоман надо посадить пожизнено,"козел,тварь,алкаш,наркоман"
"вот если бы обрубал руки своим подчененым за воровство, цены бы ему не было","обрубал,воровство"
"примолкли все, кто батькой восхищался!поняли теперь, что это за гнида!",гнида
пи-доры придёт время отвечать придётся перед народом,пи-доры
"при чем Дальше не читал РНЕшника недоделанного. Мне не стыдно, для меня быть русским не значит быть расистом","РНЕшника, недоделанного, расистом"
гена-гандон не пизди....все знают что ты в доле..гадёныш..,"гандон, пизди, гадёныш"
"откуда ,,, дровишки ,,,? кто тебе дал неоспоримый факт ,что россияне презирают путина ???! откуда ты такой умный,троль !!",троль
так ты просто обманываешь гаденыш людей,гаденыш
"Ну её нахуй эту кошелку. Я бы тоже не пускал, тупые люди принесут в школу туберкулёз и заразят нормальных детей.","нахуй,кошелку,тупые,заразят"
урода посадить без суда и следствия. алкаш,"урода, алкаш"
А в свинарнике рядом жидок просит мясников не поднимать цену на газ а то поголовье просто передохнет к хуям.,"жидок, передохнет, хуям"
"уроды, ещё называются спортсмены, садить таких надо!!!","уроды, садить"
"в поезд не сядет тот, кто помнит время ссср только при подонке-тупице горбачеве!!!!","подонке,тупице"
русня снимает видосики и бугуртит. Русский бунт. Рашковане as is.,"русня, бугуртит, Рашковане"
"блядь, не позорься тут лучше.",блядь
блять я с вас даунов просто охуею ....,"блять,даунов,охуею"
юрий 2 гнома на первом месте все деньги проибал вот дебил так и лезет на 1 место,дебил
а я узнаю суки бойтесь,"суки,бойтесь"
"итог под*хуели, очередной спам для безмозговых.., горбатого магила исправит","под*хуели,безмозговых,горбатого магила"
мужики не обращайте внимания на этого пидораса,пидораса
кому сказки рассказывает еврейская рожа? израиль с турками сегодня в любовь играют против армении. хитрозадые кого пытаетесь обдурить?,"еврейская рожа, хитрозадые, обдурить"
"эта блядь, которая пишет, даже рожу не показывает. всё понятно.","блядь, рожа"
ебал я всех в рот кто тут старается себя превознести. непути знайте это флаг казахстана.,"ебал,всех в рот"
"очередной развод! сейчас скачками побегу и куплю ящик, ушлёпки","развод, ушлёпки"
похуй. что много на земле ;? брошенные женщины,похуй
"Тебе послышалось. Менты орали моритури те салютант , а не стой, сука .","менты,сука"
"Бля, заебал он уже, во всякой бочке затычка. Где его нестиранные штаны в дальнейшем увидим?","Бля, заебал"
это не мать а тварь конченная,"тварь, конченная"
Для тебе любой человек который ухаживает за собой пидор,пидор
"сталина преступником объявляют - фашисты, власовцы их потомки и пидарасы","фашисты, власовцы, пидарасы"
"ты сам у себя отсоси, потом будешь указывать русским что делать....",отсоси
уебок тебя сократили за пьяку и не надо ля ля что что-то закрывают,"уебок, пьяку"
"только в отставку, вместе с правительством, одевайтесь в робу и на работу, хватит по сидели твари",твари
вот ведь пидоры админы-уже почти игру выиграл- взяли интернет отключили- вроде как обрыв связи-гандоны,"пидоры, гандоны"
пидор чья бы корова мычала,пидор
не трать нервы на этих дебилок они этого нестоят.,"дебилок,нестоят"
чё хотел? иди соси у плешивого,"иди,соси,плешивого"
почему бы этого пидоросёнка который косит под журналиста не закрыть ?,пидоросёнка
у кого нибудь есть домашний адрес этого дебила? опубликуйте...,дебила
"мой котяра садиться какать во время моего завтрака.... убила бы, но люблю эту скотину!","убила, скотину"
да они здесь все пиздоболки,пиздоболки
че за долбоеб это придумал? и самое интересное под каким он психотропом был?,долбоеб
долбоебизм. уберите руки от моряков .не чего же плохого не сделали.,долбоебизм
кто придумал эту группу хуиплеты,хуиплеты
"ну ты и удалая, наоборот, поднимай я народ, хватит нас грабить этим свинья...","грабить, свинья"
"не подменяйте понятия,тебя в 90 без работы ,умник хуев.",умник хуев
за что этому пиздоболу ставить лайк. я с трудом даже в коментах ответил.,пиздоболу
"будь по проще,вояка хуев,и не грей голову ответом...!!!",хуев
"он мог ебать часами, что раньше он часами мог.",ебать
чё блять пидоры перестали шифроватся,"блять, пидоры"
"пидор, покажи мне хоть одного чеченца что моет сортиры...",пидор
это твари до сих пор живы,твари
казел пидор не отебаный..все ты помниш.,"казел, пидор, не отебаный"
"о рабочих профессиях надо фильмы снимать и везде агитировать, а не о пидорасах и предателях по всем программам","пидорасах, предателях"
а какие то суки и шлюхи из них шубы покупают,"суки,шлюхи"
слушайте бляди если вы не вышли замуж то не хуй и пытаться,"бляди, хуй"
опять эту падлу ебливую кормить пожизненно заебли своим мараторием от пьянчуги ельцина,"падлу, ебливую, заебли, пьянчуги"
Охренеть. Они совсем в правительстве ебанулись,"Охренеть,ебанулись"
"блять а Белоснежка не нужна? у меня их уже 3-_- Блин, Бэлль тоже хочу:(","блять,Блин"
ПРОПУСТИЛА ГОДОВЩИНУ ПОБЕДЫ ЛИТЛ МИКС НА ИКС ФАКТОРЕ:(((( СКА ТОЛЬКО Я ТАК МОГ,С*КА
"я лебедя знал лично ещё в приднестровье, он там хорошо придавил местную кодлу гэбэшных упырей","кодлу, гэбэшных, упырей"
какие же эти люди сволочи!!! пусть им все вернется,сволочи
а вот при нынешнеем образовании молодежь тупая.,тупая
откуда у алкашей-свиней оружие? ведь даже не рабам спидоранам оружие не дают :(,"алкашей-свиней, рабам, спидоранам"
"а ее от этого бомбит, и она устраивает скандалы.","бомбит, скандалы"
"Единственное, что мне не нравится - заебали с ВОВ, как будто больше войн не было",заебали
"Разницу чуешь, или мне снова разжевать? Так что нехер пытаться обелить то, что было",нехер
С квадратиками на морде тяжело жить.,тяжело
"зажрался лукашенко.ходит с протянутой рукой клянчит у россии,а сам делает гадости .подлец ,нам такой друг не нужен.","зажрался, клянчит, гадости, подлец"
"а вы упрямые бараны, не хочу, не буду",упрямые бараны
И от такой хуйни можно много до чего договориться,хуйни
это что за полудурок с бородкой игиловского бандита ? несет какую то пургу !!!,"полудурок, игиловского бандита, пургу"
ну это же дибелоиды трамподауны зделали,"дибелоиды, трамподауны"
"кто проедет первым, не знаю, но если ученик вбубенится в маз, то инструктор учебной машины точно получит премию долбоинструктор года!","вбубенится, долбоинструктор"
"А то название напишешь, так сразу какой-то умалишенный модера позовет",умалишенный
"говорит--моя бл..ь(жена)предложила прогуляться к метро, посмотреть",бл..ь
"если бы был, такую х...ю не писал бы...",х...ю
"Модер почисти от срача тред, его смысл теряется в пожаре школьников.","срача, школьников"
продают машины рашка не может! не может я говорю!,рашка
его пацаны опустили за стукачество мусорам.,"опустили, стукачество, мусорам"
"звонок в три часа ночи: - алло, ты спишь? - да, сплю блять..",блять
"Да мля ускакали деревянные лошадки, пароходики бумажные уплыли.....",мля
есть такая херня называется интернет !,херня
"вот пусть он и объясняет тупоголовым , ведь живет- то он по соседству,чего они к европе и россии обращаются",тупоголовым
"хамло в наморднике, два слова связать не может ....","хамло,наморднике"
"аааа ну конечно, бабло то в москву не попадет, останется в регионе, не порядок, к ногтю холопов..","бабло, холопов"
"так и будут дети гибнут от пьяных сволочей! то бьют, то насилуют..",сволочей
"Эмбрион это не человек потому что у него нет памяти, нет личности, нет эмоций, нет нихуя",нихуя
Я за этим парашным проектом 5 лет наблюдал с первого выпуска,парашным
"тебя там чпокнули, что ты такое утверждаешь?",чпокнули
"К тому же вальва уже давно не геймдевелоперская контора, а занимается хуй знает чем",хуй
оттуда всё говно к нам плывёт.,говно
вонючка лукашенко называет нашего президента старшим братом,вонючка
и этой лжи учат адвокаты уродов,"лжи,уродов"
"предупреждение для тупых,типа соловьихи.кто меня пытается вычислить и наказать,тот испытает очень большие проблеммы","тупых, соловьихи, наказать, проблеммы"
"да ну хватит, этот недоумок павлов зарабатывает, не тратьте на него нервы и время, его страничка - это шедевр",недоумок
эта сраная фишка в западных околонаучных передачах так же часто встречается,сраная
"а быдлу только и нужно, чтобы даром и побольше",быдлу
которые всегда и во во всем видят только дерьмо,дерьмо
"всем ментам сказали досрочно проголосовать, иначе-пиши на увольнение...менты,прикорытники и подобная нечисть могут в платформе голосовать за луку","менты, при корытники, нечисть"
и разберемся! да вы пришли незванные и принесли с собой еще больше своего говна! мешаете! вы здесь не надо!,"говна, мешаете"
"из-за вас козлов- настроение ноль и поведение ,ну никакое.....",козлов
"да уж,многих ребят посдавали упырям бандеровцам.","упырям,бандеровцам"
"вот сволочи, ничего путного для народа не делают, один негатив от власти, гадости.","сволочи, негатив, гадости"
"Я вот хуйню бы творить не стал и если надо, то изменился бы ради общественного блага",хуйню
Просто либо воруют либо жопу свою поднять не могут в лице директора чтобы выбить нормальные условия.,"воруют,жопу,выбить"
"склонен ко всем формам наркозависимости, сучара, а также к религиозному фанатизму, что по сути одно и то же",сучара
"В пендостане и западной гейропке зп у людей выше в 6-8 раз, а цены на всё - в 1,5-2","пендостане, гейропке"
"Х.з сколько тебе, про какие времена пишешь..",х.з
Это у вас такой мемчик локальный на пораше?,пораше
враг не пройдет.победа будет за нами.все народы хотят мира.а этим тварям неймется.перемен захотели!!!браво батьке!!!!!!,"враг, тварям"
"Мож он и норм, но количество хуйни невпопад было запредельным",хуйни
сволочи бог их накажет как можно так поступать,сволочи
"вы не нашли в другом месте вести такие разговоры придурки,",придурки
"и не держи всех за себеподобных,троллюга.",троллюга
А чё этого клоуна никто не вспомнил?,этого клоуна
"прайсблядь , что удовольствие можно получать совершенно бесплатно.",прайсблядь
Первый раз воспользовался этой конченой кнопкой,конченой
"два идиота, что отец,что сын.два авантюриста.","идиота, авантюриста"
блин в каком говне мы находимся.,"блин, говне"
", то это однозначно быдло и дизлайк.","быдло, дизлайк"
А если ты ебнешь палкой и произойдет физическое взаимодействие это значит оно по кругу пошло? Разумеется,ебнешь
"ПДД написаны таким образом, чтобы уберегать дебилов от ДТП",дебилов
"был талантливый и успешный комик, а стал куском говна",говна
а тут опять какой-то гусь тупой понаписал,тупой
"сявка никак не может сойти с этого цыкличного круга, скоро новый х.й нарисуется","сявка, х.й"
Ибо и геймплей и сюжетто кусок говна.,говна
"ты все больше погружаешься в свое гавно, не делай себе же хуже",гавно
"все зубы потеряла от коновалов! маленькую дырочку рассверливали так, что бревно залезет! тфу криворукие коновалы!","коновалов, тфу, криворукие, коновалы"
"А самое тупое что если поставить в настройках старую дваче капчу, она не работает нихуя","тупое, нихуя"
"но если несется дебил с куском плитки в руке, это нормально, а то , что делает милиционер претуступление",дебил
"этих девушек, женщин вообще не понимаю, ну как так можно изуродовать свои губы только сказать дура.","изуродовать, дура"
"Просто поймал себя на мысли, что смотрю говноконтент, созданный исключительно с целью выцыганивания донатов на хайпе","говноконтент, выцыганивания"
"В жизни, по описанию очевидцев, быдловат",быдловат
"Есть мнение, что ещё жирный может немного хайпануть",жирный
В проходящего мимо человека в мастерской? Чё? Хуета любая может отскочить в проходящего человека,Хуета
при чём короновирус? хули вы не пишите что она умерла от натоптышей и мазолей они ведь тоже были,хули
"поганцы, которые по разрешению вовика сделали из ,своих отделов коммерческие кооперативы-корпоративы",поганцы
про район тайвань хочу напомнить вонь стоит несусветная и всем похер,"вонь,похер"
"ну что поделаешь ,согласна что дура",дура
люди выходили чтобы убрать вора януковичя такого бандита как путин,"вора, бандита"
и не было рядом настоящего мужика что бы навалять этому м.......,"навалять, м......."
"Снимал простенько, без вебки, т.е ебалом не светил и было уже норм",ебалом
Так что никому твой петушиный героизм не нужен,петушиный
"а за остальное пускай у тебя яйца не болят, не переживай",яйца не болят
"Особенно, если сам ничего не можешь, кроме как говном в интернете кидаться",говном
прикольные вы придурки в своей бессильной злобе,"придурки, злобе"
прежде чем признаться в своей ошибке оглянись не окружают ли тебя идиоты,идиоты
полицаи! а вы то куда лезите? позорщики!,"полицаи, позорщики"
"но почитал дальше - понял, нет ты действительно дурак",дурак
"кое как с пробуксовкой , с ебуками находишь этот дом( хорошо еще если на нем номер есть)",ебуками
"А если и посмотрят то просто скажут, что он дурак",дурак
"ух, гавнюк какой, этот котяра! как хозяин-идиот позволяет обижать малыша????..","гавнюк, идиот, обижать"
только я не понял нахрена нам ананист свиной,"нахрена, ананист, свиной"
сидела бы на своей вонючей пенсионо гбшной подачки на старости лет,"вонючей, гбшной, подачки"
а! затявкал дешёвка! значит я в цель попал,"затявкал,дешёвка"
вот с кадырова и нужно начать ! с ослоеба и полевого командира!,ослоеба
урот их надо лишить родительских прав,урот
"До меня никто не доёбывался, кроме фанатов 58.50 22",доёбывался
"Сначала отца бы сфотографировал, потом мать, а потом и вечносрущего окатыша бы сфотографировал.",вечносрущего
а вы шлюшкины страны ещё до нас не доростете,шлюшкины
"Надо, блджад, читать чуть дальше заголовка",блджад
а тут далеко и ходить не нужно!!!!!!!такое сотворить могло только конченое тупое поколение(ch) (ch) (ch) (ch) *-) *-) *-) *-),"конченое,тупое"
"ничего не планирует и плывет, как говно.",говно
"фирсофу с филатовым позвоню, скажу, что такую херню пишите!",херню
а интересно как эта проблядь связанная с вакциной ?,проблядь
"разница в том между мной,автором заметки и тобой,что мы это понимаем и признаём ,а ты сучка брыкаешься;-)",сучка
Просто для красивой картинки по говноящику,говноящику
"у людей давление зашкаливает, от масок у многих аллергия, чихают и кашляют, а эта сволочь со своим ужесточением",сволочь
только количеством мы можем противостоять этим тварям .,тварям
"я лично ни в какое дерьмо и не влазила, я тебе раз сто сказала чтобы ты от оли отвязалась","дерьмо,отвязалась"
"который раз пишут херню, сами не понимая к чему",херню
"Да, нельзя бросать дерьмо на улице, точно так же нельзя бросать дерьмо в урны",дерьмо
им вообще насрать на страну ..,насрать
"Что-то мне кажется, гинеколог не будет своему коллеге говорить дурак .",дурак
ушли и слава богу ! не будем видеть и слышать стрёмную бабу таню и её чокнутую алёнушку .,"стрёмную, бабу, чокнутую"
если бы ваш салон засрали вот такие гавнюки..ваша реакция была такая же..:-),"засрали, гавнюки"
"вот до чего доводят драки.......идиоты,мозги все пропили....одно только горе от этого безумия всем!","идиоты, пропили, горе, безумия"
"Не удивлюсь, что Била смотрят в основном не из приличных городов, а из всяких мухасрансков",мухасрансков
быстро удалили мои фото или из-под земли достану гадов!,гадов
да какие ему могут быть оправдания ? ведь погиб человек из-за этого ублюдка,ублюдка
значит и родители у них такие недоноски.,недоноски
(h) (h) (h) такая скатина не может быть больна уж очень упитанна,скатина
"пользуетесь тем,что в интернете таких,как ты,за яйца не возьмешь",яйца
"не вижу смысла тут переписываться с тупорылкой, в реале бы поговорил",тупорылкой
"правда вам глаза колет, с козлопидарами всегда так, своё на других примеряет","колет, козлопидарами"
"это враги своей страны, за 500 евро пошли свою страну крушить, идите сукины дети работать.","враги, крушить, сукины дети"
в первую очередь нужно родителя мордой об асфальт,мордой
Это биомусор с обоих сторон конфликта,биомусор
"послушай быдло,я не смотря на свои 62 года до сих пор на летной работе,врачи пока допускают",быдло
"вот и сидишь херню пишешь, мозг хоть иногда включается?",херню
но вам то наверное достаточно дерьма льющегося с экрана путиновизора.,дерьма
я думал с людьми общаюсь.....а так то оказалось с какойто ху...й безграмотной,"ху...й, безграмотной"
"представляете,он служит в полиции.делайте выводы,гадов там хватает.",гадов
"Ты стебешься сейчас? есть люди, которые не знают и готовы учиться",стебешься
"Кланятьcя вcем, кто предcтавляет опаcноcть и cмаковать мучения более cлабых попутно выcирая на них доноcы.","опаcноcть, cмаковать, мучения, выcирая, доноcы"
пыль в глоза фуфлыжники гнать таких из страны,"фуфлыжники, гнать"
найти по телефону скотину и наказать по всей строгости!,"скотину, наказать"
это наш местный дурачок из фага,дурачок
лживая хамелеонша судить ее надо за такое голосования,"лживая, хамелеонша"
дааааа......муж моей знакомой говорит......мне только 40....а жене уже 408oiтак знакомая выглядит просто отлично.....а он как жопа из кустов,жопа
"Но меня нахуй осенило когда сначала вернули значки, а потом произошел расстрел мечети в НЗ","нахуй,расстрел"
а эти твари совершили вооружённый переворот и захват власти.,твари
"такие пидоросы и правят страной, не возмущайся народ.",пидоросы
"этим пидорам не выгодно против себя принимать эти законы,",пидорам
"удивительно другое , сколько идиотов верит в эту хуйню !","идиотов,хуйню"
"счас нужно найти мужчину, а не хуеплета.",хуеплета
"дожили, бляди учат как надо жить и что делать !",бляди
"Дебил хвастается рязанским еблом, ещё и гуглит незнакомые словечки.","Дебил, еблом"
"Да, нельзя бросать дерьмо на улице, точно так же нельзя бросать дерьмо в урны.",дерьмо
"мало вам пиздюкам, чтобы страну не продавали",пиздюкам
этим засранцам нечего в магадане делать!,засранцам
"а этих двух мудаков и начальника поезда, что бы ждала такая старасть.",мудаков
"Уроды, загнали пол страны в кредиты и довольные сидят!",уроды
почему сука таких защитников не судят?,сука
"это не с родиной беда , а с мозгами идиотов , которые никак не угомонятся !","идиотов,угомонятся"
Кончай жрать говно и отойди от зеркала.,"жрать,говно"
"пиздаболы, прежде чем обвинять его, докажите что он был за рулем",пиздаболы
"из какого места этих тварей родили ,уже понятно .",тварей
"потом этот уебок, по другому не назвать, едет в лес и сыпет это гавно где нипопадя!","уебок, гавно"
"этот пиндос уже вообще реальность попутал, он наверное думает что у своего бога хуй сосёт?","пиндос, хуй"
И можете дальше дрочить на фото одних и тех же хомячков раз в два дня.,дрочить
нарвутся когда нибудь на таких же долбоёбов и жизнь сразу обретёт вкус!,долбоёбов
"тварь , тебе мало женщин, что на ребенка бросаешься, урод!","тварь, урод"
такие сволочи не должны жить на руси.,сволочи
повезло белой легковушке что этот еблан в нее не влетел,еблан
"вот это блядство, т. е. гуманность, исходит от тех долбоёбов, чьи дети на донбассе не воюют и не гибнут.","блядство, долбоёбов"
"ты долбоеб, ты посмотри за что ты работаешь, за что будут работать твои дети.",долбоеб
это долбоебы им позволяют грабить и унижать себя,долбоебы
"ты на путина и его приближенных работаешь, а в итоге ты рабыня ебаная.","рабыня, ебаная"
какие же моральные уроды сейчас сидят в верхних эшелонах власти .,моральные уроды
правители совсем продались америке ?или всё таки ебанулись??,"продались, ебанулись"
иди на хуй со своими советами я тебя не спрашивал что мне делать и как мне думать,иди на хуй
"ты блядина старушка сидишь нахуй в очках днями и ночами и никак не разберешься, кто тебя ебал.","блядина, нахуй, ебал"
!доходягу ради форумных ебанашек кинула!!,"доходягу, ебанашек"
российское воспитание тварей теперь поставлено на поток,тварей
"киргиз украл, она сбежала, так он ее зарезал сука такой..","украл, зарезал, сука"
"нехуй было курортный сизон открывать.а теперь цифры пишут,дебилы","нехуй, дебилы"
и теперь такие подонки будут отвечать по закону.,подонки
таких дебилов надо от общества изолировать,дебилов
"понял, что обосрался по всем пунктам и теперь пытаешься извернуться, авотхуй!","обосрался, авотхуй"
америкоцы дебилы раз не могут сделать классное оружие дешевле значит мозгов не хватает,дебилы
"когда только до этих придурков дойдет, что эти действия называются родину продавать.",придурков
админ пидарасы почему сундуки не окрываются,пидарасы
алло это полиция в девушка вы ебанулись в звоните больше не сюда,ебанулись
суки кому она мешала бедное животное.,суки
"он все больше и больше походит на старого потрепанного жизнью,пидора",пидора
"придурок, пусть посидит, может там об него окурки потушат","придурок, окурки"
а зачем сразу кавказцев.у нас своих уродов хватает.пускай менты лучше работают а не на жопе сидят,"уродов, менты, жопе"
сука лысая больше нехуй сказать надо их штрафовать за такие высказывания,"сука, лысая, нехуй"
"причина не в пришедших во власть долбоебов, а в население, которое этих долбоебов выбирает.",долбоебов
у каждого народа своих пидарасов хватает,пидарасов
"да у них в думе и на должностях ебальники ростут в геометрической прогрессии ,будто на забой кормят .",ебальники
"он защищает только своих детей , анавсех остальных ему насрать , трибунал ему и всем его пидорам","насрать,пидорам"
да ебанутые люди только такое могли сделать!,ебанутые
"сука тупорылые патриоты решили ,что родина это власть!!!","сука,тупорылые"
У пидараса понасенко плохо все таки с самооценкой.,пидараса
гоните этих пидоров отсюда с англию и в европу!!,пидоров
а эти твари сидят в машине.а этот чмо снимает и наверное улыбается .,"твари, чмо"
да это какойто охуевший с кружкой кофе или чая да еще и сигарета,охуевший
"эти пидорматические твари живут на другой планете , в другом измерении мы для них как инопланетяне .","пидорматические, твари"
"что это мразь и предатель, знают все народы советского союза!","мразь, предатель"
сколько же тут долбоебов не читавших и не знающих историю ...тьфу,"долбоебов, тьфу"
в этой группе обязательно найдётся тупой недоёбок с тёмной аватаркой и заданием нахамить.,"тупой,недоёбок,нахамить"
да пидобол еще тот и кто его слушает одному богу известно,пидобол
вы уже заебали этими открытками может хватит?,заебали
"тексты своих поганых выступлений ты хорошо помнишь, мразь!","поганых, мразь"
"что ж ты сука прячешься, гавкаешь за чужой спиной?","сука,гавкаешь"
"На какое противоречие ты указал, идиот жопоглазый?","идиот, жопоглазый"
говоря прямо: эти фильмы - никому не нужное говно?,говно
"а, что же вы мрази поганные, сидящие в кремле, свои сбережения не подсчитываете?????","мрази, поганные"
"этот мальчик возможно и отомстит, если эти бляди не забьют его.","бляди, забьют"
"люди уроды, скоты, бог все видет, вернётся все вам людям...","уроды, скоты"
"Для стима пилили петицию , но закономерно пососали хуй.",пососали хуй
"пидарас, приложил руку к развалу союза а теперь ещё что-то гундосит.",пидарас
"как всегда сказочно напиздел, особенно про дочку вкатившую себе вакцину.",напиздел
ещё один хер с горы со своим копеечным мнением.,"хер, копеечным"
"я потерял маму, а после сорока дней жена ушла... вот и вся ваша блядская верность!",блядская
а не ебанутых из дома 2 показывать.,ебанутых
"ты не первый и не последний,время придёт ,посмотрю как ты скулить будешь псина подзаборная.","скулить, псина подзаборная"
"но, сука, зря он так про бессмертный полк...",сука
"заебал за 20 лет, стоющего ничего нет, только обещаем обещать, мне такой президент нах не нужен!","заебал, нах"
урод они же дети как можно детей на улице оставить.,урод
"да гнать этого пидрюгу надо,гандона","пидрюгу, гандона"
валит сука пускай из страны вообще.,сука
"семейка боярских, походу те ещё упыри.","семейка, упыри"
прилетели к нам грачи - пидорасы москвичи!,пидорасы
"А нахуй ты тут персональный чатик устроил, дегенерат?","нахуй, дегенерат"
пиздабол песня есть у шнура эт про него,пиздабол
