Sentence,Negative Connotations
Hat man euch nicht gesagt das Gras rauchen die Birne weich macht. Anders lässt sich dumme Bild nicht erklären.,"weich, dumme"
Hauptsache diese Lügenpresse und Merkel Vasallen können hetzen!!. Diese Dreckspresse ist zum kotzen 🤢,"Lügenpresse, Vasallen, hetzen, Dreckspresse, kotzen"
Solche Typen versuchen einfach durch ihr Geschwätz von die linken Bedrohung mit Beispiellügen die Leute zu verunsichern.,"Typen, Geschwätz, Bedrohung, Beispiellügen, verunsichern"
😂😂. Wie die SPD ler bei Erdogan und anderen Terror Türken,Terror Türken
Geht zu jedem Infostand und lacht die Sklaven aus.Ist nicht verboten.,"Sklaven, lacht aus"
schon wieder so ein #Neger #Tatort ohne mich ciao #WDR,Neger
Der Bastard ist in Afghanistan untergetaucht! Er wird dort wegen Mord und Raub gesucht! Dies verschleiert sein teurer deutscher Anwalt!!,"Bastard, Mord, Raub, verschleiert"
"Von mir aus kann der im türkischen Knast verrecken. Solange es Deutsche Botschaften wie die in Manila gibt, gibt es auch Menschenverachtung","verrecken, Menschenverachtung"
"Gabriel ist widerlich und unverantwortlich. Wird Zeit, dass er schnellstens verschwindet","widerlich, unverantwortlich, verschwindet"
Dieses Miststück hat uns soviele Milliarden gekostet! Um sie endlich zu 'entsorgen' käme es auf ein paar Millionen nicht mehr an! Oder?,"Miststück, entsorgen"
"großes maul und nichts zu sagen, dummes labern, ohne fragen","großes maul, dummes labern"
Hoffentlich kann der Pfaffe noch lange weiter pilgern!,Pfaffe
Dortmund hat absolut kein Geld aber für Saudumme LINKE Sprühaktionen iss dann wohl Geld da !!,"absolut kein, Saudumme, LINKE"
wie schleimig und rückgratlos @USER_0 ist werden wir in den nächsten Tagen sehen! NIE WIEDER #SPD,"schleimig, rückgratlos"
Die Sau muss den Orden wider den tierischen Ernst kriegen!,Sau
"Sind selbst Schuld die Dummen Girlies die unbedingt Modell werden wollen,","selbst Schuld, Dummen, Girlies"
"Ich bin fest davon überzeugt, Murksel hätte 1989 schießen lassen u. würde es mit diesem Klüngel auch heute tun. Überzeugt mich vom Gegenteil","Murksel, schießen, Klüngel"
Linke Mullen sind einfach der größte Schmutz,Schmutz
"Menschenrechte dürfen nicht missbraucht werden. Wer hier arbeitet, hat Rechte. Faule Säcke kehren dorthin zurück, wo sie herkommen.",Faule Säcke
Und Deine sind extrem doof.,doof
"Leute die so etwas einfädeln sollten sofort belangt werden,. unsere Jugend muss vor dem Gesocks geschützt werden",Gesocks
"Der 2 x sitzen gebliebene Martin Schulz ist stolz auf seine Schulergebnisse.. Was ist das denn für ein Vorbild? Abohrfeigen, aber sofort.","sitzen gebliebene, Abohrfeigen"
Habe auch gespendet für den Untergang der Verkrusteten Altparteien.Nieder mit den Fettbäuchigen Altmaiers!,"Verkrusteten, Fettbäuchigen"
Wie dämlich müssen erst die Sesselfurzer sein wenn sie den Unterschied von 17 und 32 Jahren nicht erkennen....?,"dämlich, Sesselfurzer"
Und wieso wurde dieses etwas nicht Zwangsverheiratet...?,Zwangsverheiratet
"Moin Piepser, hänge hier immer noch fest! 20cm Schnee bringen d. Kommunalpolitik durcheinander 😡 Was wollen die Affen dem IS entgegen setzen",Affen
Auf die Mehrheit der Deutschen ist geschissen....die labern nur Blödsinn und wählen können sie auch nicht...,"geschissen, Blödsinn"
"Lieber hundert Stimmen für die #AFD als eine Stimme für die #SPD , die #Scheinheilgste #Partei #Deutschlands oder der abgefuckten CDU","Scheinheilgste, abgefuckten"
"Gauland hat recht !! Was hat eine aus der Ziegenrasse in Deutschland,im Besonderen in 🇩🇪er Politik zu suchen? Nichts ! Fakt !","Ziegenrasse, Nichts"
diese scheiß #Islamisten #Gejaule will doch kein Mensch hören @USER_0 #WDR,"scheiß, Islamisten, Gejaule"
"Da Sie meine Kirchensteuer nicht ablehnen,trete ich aus diesem Scheiss Verein aus.",Scheiss
Solche Leute gehören einfach ins Arbeitslager um anfallende Kosten zu erstatten und anschließend abgeschoben.,"Arbeitslager, abgeschoben"
Die Sklaven der Merkel und der alten SED müssen endlich lernen zu gehorchen.,"Sklaven, gehorchen"
Frisch dynamisch unkonventionell....der Pimpf wird seine Arbeit richtig gut machen.... ...eine weitere politische Schmach für unsere Wichtigtuer...😃😃,"Pimpf, Schmach, Wichtigtuer"
"Dümmer geht immer,paßt Stalinisten besser ? Geh besser Grammatikfehler jagen, ist ein rein rotgrünes Ding, bevor Argumente am Geist kratzen!","Dümmer, Stalinisten, rotgrünes, kratzen"
Ich will dieses Arschloch nicht auf freiem Fuß wissen...egal in welchem Land..!,Arschloch
"diese KRANKE Person 💩 Göhring-Eckhardt 💩 kann zurück in ihre Heimat, der ⚠ #DDR ! ⚠","KRANKE, 💩, 💩"
Die strotzt vor Blödheit! Teilt sich mit Fatima Roth einen 40er-IQ!,"strotzt vor Blödheit, 40er-IQ"
Hier ist ja mal wieder ein richtiger AfDeppenstadl am kommentieren. Politisch komplett ungebildet und intellektuell unterversorgt.,"AfDeppenstadl, ungebildet, unterversorgt"
#Yücel von mir aus kann er in der Türkei die Todesstrafe bekommen was redet Wallraff für ein Scheiß?. Yücel einer der größten deutschhasser.. #lanz,"Todesstrafe, Scheiß, deutschhasser"
Nur noch Scheisse im Kopf....die Deutschen können damit einfach besser denken..!,Scheisse
"#Barcelona &amp; wo bleiben jetzt die #MSM-Artikel gegen Polit-Arschlöcher, die NICHT den MUSLIMISCHEN #Terror klar benennen?","Polit-Arschlöcher, MUSLIMISCHEN #Terror"
Datt iss ja wie negativ Zins !! Nicht gerade die Qumranrollen aus dem Westjordanland ! Au Backe der dumme Tropf !😂😅😆😂,"dumm, Tropf"
Gegen die Dummheit dieser Frau gibts doch bestimmt was von Ratiopharm,Dummheit
sieht mit ihrem Schlauchboot im Gesicht nur noch richtig scheiße aus und sollte besser nur noch zu Halloween auftreten,scheiße
"Meine Fresse, jetzt gehts wirklich los! ZDFinfo Doku wo DEUTSCHE Geschichte kaputtgelogen wird! Lügenmedien nicht mehr zu ertragen!","Meine Fresse, kaputtgelogen, Lügenmedien"
0 Asylanten in Wittenberg und nicht anders.,Asylanten
"Es ist widerlich sich diesen Machtpoker um Merkel mit ansehen zu müssen, zuzusehen welche Schwachmaten ausschließlich um MACHT streiten 🤢","widerlich, Schwachmaten"
Vor allem ist es hochgradiger Schwachsinn.,"hochgradiger, Schwachsinn"
"Was hat eine abgewählte, deutschfeindliche SPD-Null, hier noch zu labern?","abgewählte, deutschfeindliche, SPD-Null, labern"
also die #fasnacht in diesem #jahr geht in die geschichtsbücher ein - soviele #Rapefugees wie noch nie :( gehören alle kastriert,"Rapefugees, kastriert"
#Selbsterhaltungstrieb - #Fakt: Selbst der dümmste #AFD-Wähler ist ein Geistesriese verglichen mit beliebigen Wähler*innen der Blockparteien,"dümmste, Blockparteien"
es ist mir scheißegal wenn sich die #Türken untereinander den Schädel einschlagen damit habe ich kein Problem @USER_0 #ZDF,"scheißegal, Schädel einschlagen"
"Liebe Freunde,denkt einfach.Der debile Klitschko,gefeiert der BRD medien.Also ein primitiver Sklave der US Ostküste.","debile, primitiver, Sklave"
grüne Quotenhexe mit dabei - dafür ohne die stärkste Oppositionspartei #ichbinhier,Quotenhexe
"Wer hier Naziverhalten sieht, hat ein Rederecht. Auf dem Klo.. Scheisshausparolen gehören dort hin. 1683 haben wir die. Türken davongejagt. Ja","Naziverhalten, Scheisshausparolen, Türken davongejagt"
wo ist den Ober-Bastard Voßkuhle?,Ober-Bastard
"Eine überaus, arroganten Göre die in meinen Augen nichts anderes als eine Trittbrettfahrerin von dieser Greta ist!","arroganten, Göre, Trittbrettfahrerin"
"Seltsam - die deutsche Botschaft in Manila hätte meine 15 Monate alte Tochter lieber im Dreck verrecken lassen, als zu beurkunden.","Dreck, verrecken"
"An der Gewalt,an mangelnder Bildung und am Hyperpigmentierten an ihrer Seite kann man die linken Blagen meistens erkennen !Achja, die hetzerische Rethorik ist auch auffallend !☠️🤬☠️","Gewalt, mangelnder Bildung, Hyperpigmentierten, linken Blagen, hetzerische"
"Diese Sendung ist wiederlich, 4 gegen 1 einfach nur furchtbar die grünen sind pädophile da sagt niemand was und es wird immer noch nicht begriffen, das sie zu stark ist","wiederlich, furchtbar, pädophile"
Es waren nur ca 26%..nach den Geschehnissen immer noch viel. Der dumme 🇩🇪braucht halt noch eine vor den Latz...erst wenns richtig weh tut....,dumme
Ich kann so was garnicht fassen. Was ist das nur für ein krankes Pack.. #MuslimBan,krankes Pack
EU und dieses Schland mischen sich wieder MIT VERLOGENEN DARSTELLUNGEN in die Innenpolitik Polens ein > DAS GEHT IHNEN EINEN SCHEISSDRECK AN,"Schland, VERLOGENEN, SCHEISSDRECK"
WEIDEL KLASSE ! HAT DEN POLITundJOURNALIENABSCHAUM zu RECHT abgehakt und verlassen!ZDF = LÜGENSENDER ! Jetzt wohl bewiesen !,"ABSCHAUM, LÜGENSENDER"
Alle Filme vor 45 sind Nazifilme?Dafür wird uns dieser scheiss AFD Tatort Verschnitt vorgesetzt!Wir sind im Gehirnwäsche-Zeitalter.,"Nazifilme, scheiss, Gehirnwäsche"
"#rapefugees #refugeeswelcome Bürger bewaffnet euch, die Fachkräfte tun das auch. Und die zögern nicht, diese einzusetzen. Better he than me","rapefugees, bewaffnet, zögern nicht"
Nur die Grünen reden über Klimakatastrophe..😂😂. Wieso ist diese kotzgrüne Brühe nicht versickert..?. Ihr dummen 🇩🇪was habt ihr nur getan??,"kotzgrüne, dummen"
Nicht nur Linke Politiker decken die Antifantenbrut! 👎 😨 👎,Antifantenbrut
"Wenn Frauen sich darüber echauffieren, bitte. Machen damit halt ihrem Ruf als hysterischem, schwachen Geschlecht alle Ehre ☺","hysterischem, schwachen"
"Ich als 45jähriger Zeitungshersteller werde dafür sorgen, das solche deutschefeindlichen Arschlöcher wie Jörges vom Medienmarkt verschwinden!","deutschefeindlichen, Arschlöcher, verschwinden"
"Da steht man auf, und wem sieht man als erstes bei Twitter? Den hässlichen Junge, toller Start in den Tag ☺️☺️☺️☺️. @USER_1 @USER_0 #NoAfD",hässlichen
"Das war ein legaler Check , wir sind nicht bei den Memmen vom Fußball!",Memmen
ja man deine fresse 😅 viel glück bei den Frauen 👍,fresse
#KölnerTreff ekelhafte Sendung Moderatorin mit Pferdegebiss und #Schwuchtel aus Österreich #WDR,"ekelhafte, Pferdegebiss, Schwuchtel"
Ja so sind die Deutschen....zur Blödheit erzogen..!. Die wollen den Asylwahnsinn mit aller Gewalt...,"Blödheit, Asylwahnsinn, Gewalt"
"Es gibt so unendlich viele Vollspacken, da hilft kein Arzt mehr! 😉👎",Vollspacken
Es hat seit bestehen unserer Erde immer einen Klimawandel gegeben......wir werden den nicht aufhalten können...... zum Anderen sollten Länder wie China oder Indien anfangen ......das sind die Dreckschleudern,Dreckschleudern
Diese verdammte Merkelregierung muß weg. NPD wünsche ich aber über 10%,verdammte
"Und der FETTE Gabriel verkauft Waffen an die Urheber der ganzen Scheiße, nämlich die Saudies. Möchte mal wissen was er von Lobby bekam !!","FETTE, Scheiße, Saudies"
Polaken lümmel schreien White Power,"Polaken, lümmel"
Großmaul #Özdemir hat ja gesagt dass es keine Koalition gibt wenn nicht bis 2030 der Benzinmotor Geschichte ist #grüne,Großmaul
Es wird Zeit das mann @USER_0 ENTSORGT am besten rückstandlos. #illner,"ENTSORGT, rückstandlos"
"Fangt doch mal an zu denken, Ihr Afrikaner. Geburtenkontrolle ist. angesagt. Damit die Neugeborenen ausreichend ernährt werden können.","Fangt doch mal an zu denken, Ihr Afrikaner, Geburtenkontrolle, angesagt"
#Charlottesville Wieso das #Establishment &amp; sein #MSM-#Abschaum gegen #Trump hetzen? Er hat die Wahrheit gesagt: Gewalt von BEIDEN Seiten,"Abschaum, hetzen"
OMG.....was für eine ekelhaft häßliche Frau..dieses Gesicht nur auf dem Boden einer Mülltonne zu gebrauchen...!,"ekelhaft, häßliche"
Es gibt schon reichlich dumme in den eigenen Reihen...diesmal ist es halt ein arbeitsloser Journalist..!,"dumme, arbeitsloser"
Merkels MasterPlan. Deutsche zur Minderheit im eig. Land machen. Wers begreift wird zum Nazi erklärt.. Bundeswehr säubern+Gegenwehr ausschalten,"Minderheit, Nazi, säubern, Gegenwehr ausschalten"
so etwas strunzdummes wie in meinen Augen Frau #Nahles darf Deutschland nicht weiterhin in einer #Bundesregierung blamieren #SPD ihr gehört in die Fresse,"strunzdummes, blamieren, Fresse"
Auch ein begünstigter Scherge des Systems,Scherge
So muss man mit dem Migrantenpack umgehen!,Migrantenpack
#rapefugees laufen sich langsam warm. Kölnerin wird von Flüchtling vergewaltigt. #Obergrenze #armlänge #alaaf #Karneval,"rapefugees, vergewaltigt"
SPD ist der größte Dreck geworden....Stegner und Schulz so ziemlich das lächerliste was es zu bieten hat...!,"größte Dreck, lächerliste"
"Die gesamten Nullen der Altparteien, sind nur noch ein Merkel-Wahlzirkus!. Nur Posten zählen! Deutschlands Bürger interessieren denen einen Scheiß!","Nullen, Wahlzirkus, Scheiß"
Grüne haben den kriegsverbrecherischen Angriffskrieg gegen Serbien 1999 durchgesetzt. Es ist eine kriegshetzerische Partei! Die @USER_0 verschweigt es.,"kriegsverbrecherischen, Angriffskrieg, kriegshetzerische"
"Scheiss-Klimaschützer. Für Geschwindigkeitsbeschränkung, aber. die Flieger und die Kreuzfahrtschiffe blasen weiter die Umwelt voll.",Scheiss-Klimaschützer
Merkels Vasall mehr sage ich nicht du Dumm-Deutscher!!,Dumm-Deutscher
Die BRD > lächerliches Bildungssystem züchtet Wahlschafe; Spaßgesellschaft mit Brot u. Spielen; Hausfrauen-Bildungs-TV ab 14:00 Uhr usw 😂😂😂,"lächerliches, züchtet, Wahlschafe, Spaßgesellschaft"
Geht's noch? Ihr habt doch einen an der Waffel🖕,"Waffel, 🖕"
wenn sich Schutz suchende #Flüchtlinge in Europa als #radikale #Islamisten-#Krimigranten-#Rapefugees entpuppen -in #Gefangenenlager stecken,"radikale, Islamisten, Krimigranten, Rapefugees, Gefangenenlager"
Ja das ist das Ergebnis wenn blinde auf taube treffen....und das die nächsten 4 Jahre...holly shit,"blinde, taube, shit"
Wie blöd sind deutsche Politiker eigentlich???,blöd
Was tun mit solchen Leuten..?...wie geht man mit Unkraut nochmals um?,"solchen Leuten, Unkraut"
User die melden sind einfach Schmutz,Schmutz
Soll er doch dort verrotten,verrotten
"Warum LINKS oder SOZIALISMUS nie überlebt?? Weil zu 99,7 % Kinder eben NICHT auf ihre Eltern SCHIEßEN !",SCHIEßEN
"Zuviele Wähler haben sich ins Boxhorn jagen lassen.. Ähnlich dämlich wie die Franzosen, die gerade ein böses Erwachen haben.","dämlich, böses"
Ja. Er ist blödsinnig.,blödsinnig
"Sie weiß genau das sie die Schuldige ist! Mehrmals unser Grundgesetz mißachtet, um solche Mißgeburten und Bastarde in unser Land zu holen!","Schuldige, Mißgeburten, Bastarde"
Spätestens seit Blümchen wissen wir welche Waschlappen in der Regierung sitzen....😃😃,Waschlappen
"#schweinefleisch für alle #Flüchtlinge und #Asylanten. Wer saufen kann und Kinder vergewaltigen, braucht keine extra Wurst ..Fuck Refugges","Schweinefleisch, Flüchtlinge, Asylanten, saufen, Kinder vergewaltigen, Wurst, Fuck Refugges"
"Praktisch haben einige europäische Dummköpfe beschlossen, einigen Verbrecherkollegen in Afrika mehr Geld zu schenken!","Dummköpfe, Verbrecherkollegen"
Ich bin wirklich entsetzt wie viel Idioten immer noch zu Merkel und Co. stehen.,Idioten
heule ich ? Mensch petra reg dich mal ab du alte Buttermilch,"alte, Buttermilch"
...altgediente zum schwachsinngealterte Politiker auf Abstellgleis mit goldener Pension geparkt... Wehe euch wenn ihr dort landet...wehe euch,"schwachsinngealterte, Abstellgleis"
"Im Grunde ist es fast psychopathisch, wie Trump ständig überprüft wird. Habt ihr Säcke. auch schon seinen Stuhlgang überprüft?","psychopathisch, Säcke"
"Gabriel, keinerlei Ahnung von irgendeiner deutschen Geschichte! 1962 kamen die ersten türkischen Schmarotzer nach Deutschland!","keinerlei Ahnung, Schmarotzer"
Was ein Hurensohn muss man sein um Imp zu unterstützen,Hurensohn
"#G20 Was man der #Polizei vorwerfen kann? Das sie nicht härter, massiver &amp; schneller gg den marodierenden #antifa-Mob vorgegangen ist.","vorwerfen, härter, massiver, marodierenden, Mob"
"Ich weiß, ich habe das schon mal geschrieben, aber:. Ich hasse die Grünen. Mit tiefster Inbrunst.",hasse
"Der Steinmeier und sein Drecksministerium hätte meine kleine Tochter lieber im Dreck verrecken lassen, als Art. 6 GG zu beachten","Drecksministerium, Dreck, verrecken"
"Ach du Scheisse. Ist das nicht diejenige, die bei Trauerfällen dämlich lacht und sich mit Ihrer Fratze wichtig macht.","Scheisse, dämlich, Fratze"
Schämt euch ihr dummen Säue,dummen Säue
Putin ist ein Angsthase.. Deswegen ist er so selten im Kreml und arbeitet in seiner schwer bewachten Villa..,Angsthase
#Pegida hat alles vorausgesagt für Europa!. IslamTerror in Madrid. 13 Tote. Weitere werden folgen ihr deutschen Politidioten,"Terror, Tote, Politidioten"
Na noch nicht bemerkt das die Deutschen nicht wollen das SPD überhaupt eine Verantwortung übernimmt..?. Ich finde der dumme deutsche hat das Recht neu zu wählen....!!,"dumm, dumme"
"Intergrierte werden Abgeschobenen und Nafris und die Neger dürfen bleiben ,siehe Geschehniss in Nürnberg!","Nafris, Neger"
Klappe halten...oder ich laufe dir hinterher..!. Mongo,"Klappe halten, Mongo"
Ich kann mit Schlampen umgehen 😃,Schlampen
"Wenn ich nachdenke, ist es schon erniedrigend im 'Lobbyisten.Babel' Deutschland unter Führung der Finger kauenden Marionette leben zu müssen😜","erniedrigend, Lobbyisten.Babel, Marionette"
"Fritz, Deutschland machte mit! Merkel kroch Bush in den Arsch,da war sie noch nicht einmal Kanzlerin,dann Ramstein, BW-Einsätze","kroch, in den Arsch"
Mach ma weiter so @USER_1 @USER_0 #gabriel macht scheinbar alles für den #erdogan . #fckerdogan #ErdoganTheButcher #erdoganistderhass,"fckerdogan, Butcher, erdoganistderhass"
"klar , Deutschland ist Paradies für uns kanacken und wo anders ist das leben unerträglich gel 🤦‍♂️","kanacken, unerträglich"
Solche Idioten von Moderatoren gibt es in D gleich mehrere! 😛🖕👎,Idioten
Flintenuschi kam heute in der Berliner Gedächtniskirche 'groß raus' 😂😂😂 wo sie doch ihre 'Kriege' u. ihre Söldner so liebt. 😂😂😂,"Flintenuschi, Kriege, Söldner"
Zum heulen und zum in die Fresse hauen.....,Fresse hauen
#EU-#Faschismus #Scootergate Sämtliche deutsche #MSM wieder mal beim Arschlecken des ukrainischen Putschregimes,"Faschismus, Arschlecken, Putschregime"
"Ich liebe meine Heimat, verachte politische Versager und ihre Tröten, die deren Schwachsinn noch verbreiten 😂😂😂","verachte, Versager, Tröten, Schwachsinn"
DANKE #Clausnitz FÜR EUREN #WIDERSTAND ! IHR SEID HELDEN! #SOS #rapefugees #koelnhbf #cologne #Islamisierung AUS WESTDEUTSCHLAND: DANKE!!!,"rapefugees, Islamisierung"
Das zeigt doch wieder einmal welche Vollspacken uns regieren! Hauptsächlich Hohlköpfe. 😂😂😂👎🖕,"Vollspacken, Hohlköpfe"
"Gauland, rede Dich doch nicht mit den Aussagen anderer heraus. Damit. wird doch Dein dummes Rasissmusgelaber nicht entschuldigt.","dummes, Rasissmusgelaber"
Die Diskussionen zwischen #Augstein &amp; #Blome spiegeln wunderbar die dekadente geistige Verblödung der politischen Presse wieder,"dekadente, geistige Verblödung"
"Danach fragt doch niemand, auch nicht, wenn Fettbacke behauptet, die Türken hätten Deutschland wiederaufgebaut.",Fettbacke
Wie können Sie einem 2 x sitzen gebliebenen Nulltipper bei. seiner Kanzlerschaftskandidatur helfen? Wie tief will die SDP. noch sinken?,"sitzen gebliebenen, Nulltipper, sinken"
...worauf du einen lassen kannst....ich war Gestern dein Feind bin es heute und werde es auch in Zukunft sein..!. Wir brauchen ganz sicher etwas....aber dich nicht...!!,"Feind, brauchen...dich nicht"
So siehst aus. Kuscheljutiz für Asylantenpack.,Asylantenpack
..wurdest Du Luder Du nicht mit Rede.-und Schreibverbot belegt ..?. Berlin Berlin....Migranten überall...im Rathaus und auf Straßen...ne richtige Kanackenstadt geworden..oder heißt es Kanackenstaat..,"Luder, Kanackenstadt, Kanackenstaat"
"Gruselig, die Seite von der KahaneSTASI. Gibt wohl keine UNDEMOKRATISCHEre Webseite! So ein Scheiß weckt Widerstand in mir! Diese Verbrecher","Gruselig, UNDEMOKRATISCHEre, Scheiß, Verbrecher"
da versucht ein weiterer Überflüssiger sich vorzudrängeln ..😂😂,"Überflüssiger, vorzudrängeln"
Ach was! Schreiben Sie diesen Scheiss an Frau Dr. Sommerauer. Die hat mir auch geholfen in meiner schwierigen pubertären Zeit.,Scheiss
Merkel und ihre devoten Schleimer und Kriecher haben es geschafft! Ein Sklavenstaat!,"devoten, Schleimer, Kriecher, Sklavenstaat"
"Merkel macht es wie es schon Adolf Hitler gemacht hat, durch Lügen und Wahlbetrug die von der Lügenpresse und Medienpack unterstützt werden!","Lügen, Wahlbetrug, Lügenpresse, Medienpack"
"Wenn ich täglich diesen geistigen Dünnschiss ü. Abschiebung ja, nein, höre, wird mir über so viel Inkompetenz kotzübel. 🤢","geistigen Dünnschiss, Inkompetenz, kotzübel"
Hoffentlich sind die Nationalisten dann die Sieger nicht die Asylantenbeschützer und Asylantenabschaum?,Asylantenabschaum
"Merkel verspricht wieder das schnelle Internet ab 2018 > denkt diese Tusse wir Mecklenburger sind verblödet, oder alle in der CDU 😂😂😂","Tusse, verblödet"
Integration findet also im Kopf statt!? Bislang doch eher im Schwanz! #koelnhbf #fluechtlinge #rapefugees,"Schwanz, rapefugees"
Aber zeit sich darin nicht die naturgemäße Dummheit der Grünen?,"naturgemäße, Dummheit"
May muß die Scheiße der Männer aufräumen..,Scheiße
wozu brauchen wir überhaupt noch teure #Politiker wenn die Politik austauschbar ist und uns insgesamt allen doch nur bescheißen,"teure, bescheißen"
Für Kinderfickerei gibt es keine Härtefälle Hier gelten Deutsche Gesetze und sonst nichts!,Kinderfickerei
Horst Seehofer ist für mich nur noch ein Dummschwätzer CSU,Dummschwätzer
"Merkels Niveau reicht nicht einmal für eine EHRLICHE Diskussion mit einer Putzfrau, Lug u Trug zeichnen eben einen verkommenen Charakter aus","reicht nicht, Lug, Trug, verkommenen"
Ich persönlich scheisse auf die grüne Kinderfickerpartei,"scheisse, Kinderfickerpartei"
Wer Politik macht wie die abgefuckte SPD verrät das Volk,"abgefuckte, verrät"
Die wollen von nix ablenken. Die sind naturgemäß so dumm.,"nix, dumm"
"Deutsche können ja verrecken ,aber wehe einem Asylanten wird's Geld gestrichen!","verrecken, wehe"
"FY Kriechen tun nur die schäbigen Bastarde aus der abgefuckten SPD, und zwar ganz tief in den Arsch von IM Erika.","schäbigen, Bastarde, abgefuckten, Arsch"
Ich scheisse auf die SPD.. SCHEINHEILGSTE PARTEI DEUTSCHLANDS !!!,"scheisse, SCHEINHEILGSTE"
Seehofer ist eine bayrische Oberpfeife....er hatte nur kurz seine Momente wurde aber schleunigst zurechtgestutzt...😃. Als Beweis dafür trägt er sein Haar jetzt auch kürzer ....😃,"Oberpfeife, schleunigst zurechtgestutzt"
"Stimmt, und Merkel als Reinfall für das deutsche Volk und Europa!!!. Diese Heuchlerin sollte lieber ganz still sein!!!😡😡😡","Reinfall, Heuchlerin"
Stimmt aber dazu ist er zu blöde.,blöde
"Sie sind leider ohne Bildung und ohne orthographische. Grundkenntnisse berechtigt, Ihren politischen Müll hinauszuonanieren.","ohne Bildung, ohne orthographische Grundkenntnisse, politischen Müll, hinauszuonanieren"
Widerliche Fratzen...sie machen unsere Welt nur schlechter...!!,"Widerliche, Fratzen, schlechter"
"Kaum haben Grüne ihre Dummheit rausposaunt, kommt der nächste Schwachsinn!","Dummheit, Schwachsinn"
und wenn die eingeladen werden kommen die nicht zu Wort weil die zu klug für die anderen dummen sind.,dummen
"glauben sie mir , die meisten die hier ihre hass Kommentare abgeben sind hartz4 Schmarotzer :) habe so meine Erfahrung mit euch daitchen Dummschwätzer","hass, Schmarotzer, daitchen, Dummschwätzer"
"Nein, das bestimmen die Idioten in den Konzernen! Aldi macht z.B. nicht mit!",Idioten
"Egal wo ich in PL für öffentl. AG u Kommunalpolitiker dolmetschte, Deutsche Spitzenpolitiker sind bei ihnen zu (wörtl.) LACHNUMMERN geworden😜",LACHNUMMERN
"Gabriel, Du armseliges Würstel, was bist Du für ein hinterhältiger. Geselle. Versuche nicht, Frau Dr. Merkel anzupissen. Geh scheißen.","armseliges Würstel, hinterhältiger, anzupissen, Geh scheißen"
Die Türken dringen hier ein und wollen uns ihre Art zu leben aufzwingen. Und. beschimpfen unsere entscheidungsunfähigen Weicheier als Nazis.,"dringen, aufzwingen, beschimpfen, entscheidungsunfähigen, Weicheier, Nazis"
Das Auswärtige Amt scheisst auf die Menschenwürde und auf Art.6 GG !!! Übrigens geführt von der SPD !!!,scheisst
Der dumme deutsche hat sich entschieden....jetzt wird alles nur noch schlimmer....,"dumme, schlimmer"
Außerdem sind sie politisch dumm.,dumm
Die Afrikascheiße fliegt uns bald um die Ohren....wir sind übersät mit Unkraut und das werden wir nie wieder los...!,"Afrikascheiße, Unkraut"
wer zum #Ziegenficker in die #Türkei fährt ist selber schuld wenn er dort in den Knast geht,"Ziegenficker, selber schuld, Knast"
Lasst die ISIS-Schlampe wo sie ist. Ein Gefährder weniger.,"ISIS-Schlampe, Gefährder"
"War das Wochenende im Ruhrpott unterwegs. Überall schwangere, muslimische Frauen mit einem Rattenschwanz an Kindern #Islamisierung","Rattenschwanz, Islamisierung"
Nicht täuschen lassen....das sind freiwillige die schnellstmöglich dieses Affenland verlassen wollten..!,Affenland
Ausgangssperre für Asylanten und Migranten!,"Ausgangssperre, Asylanten, Migranten"
Diese @USER_0 sieht immer mehr aus wie andrea nahles in den Klamotten einer übergewichtigen Nutte. #maischberger,"übergewichtigen, Nutte"
"Ja, die Suppe wird solange aufgekocht, bis jeder miese völkische Drecksack brechen muss, bis er weint.","miese, völkische, Drecksack"
Hoffentlich finden Sie alle Schweine!,Schweine
Mit dieser GROKO geht die illegale Masseneiwanderung der Islamischen Invasoren ohne Begrenzung weiter faulen Zauber beenden AFD wählen,"illegale, Invasoren, ohne Begrenzung, faulen Zauber"
MrTrump sie waren mir mal Sympathisch mit ihrer Aussage Das sie Die Merkel Loben da haben sie jetzt bei mir Verschissen,verschissen
Auswahl wohl eher Dschungelcamp Niveau...D Promis😂😂. Maybrit ist schon eine treue Polittusse...alle so richtige Zuchtstuten bei ARD-ZDF...!,"Dschungelcamp Niveau, D Promis, Polittusse, Zuchtstuten"
"In ihrem Land war dass so nicht möglich ,aber bei uns kann man dass ausleben ,dank freier Meinungsäußerung.Wir Deutsche sind die gelackmeierten !",gelackmeierten
"Im Grunde hätte Dir Bosbach eine schallende Ohrfeige. geben müssen, dass Dir der Fächer davongeflogen wäre.",schallende Ohrfeige
Dortmund:Leipzig. Die großmäuligen Dortmunder werden von Leipzig hergespielt. Großartig!,"großmäuligen, hergespielt"
Genau. Die Froschfresser haben nichts gelernt! Ihr Untergang ist selbstverschuldet.,"Froschfresser, nichts gelernt, Untergang, selbstverschuldet"
Wirtschaftskriminalität unter der Führung Merkels! Thema: WIE BESCHEISSEN WIR DAS VOLK NOCH BESSER UM UNSEREN PROVIT ZU MAXIMIEREN! Mafia!!!,"Wirtschaftskriminalität, BESCHESSEN, PROVIT, Mafia"
Was für Politiker? Ich sehe immer nur hinterfotzige Heuchler und Schmarotzer.,"hinterfotzige, Heuchler, Schmarotzer"
