Sentence,Negative Connotations
什么gp女权组织？要批就批某个人，中国这么多人，这么多女性它们有什么资格评判？还拿它们的鬼话当成批判的材料吗？,"gp, 鬼话"
感到txl恶心这没毛病啊，其实只要活好自己就行了，txl的生活也不会因为你的喜好就改变的,恶心
因为大家有家庭有事业，上学工作，没时间整天拿个手机在网上看它们打残虹拳，它们要么是50w，要么是游手好闲淫虫上脑那类，它们有那跟我们敲键盘的时间还不如去查一下艾淋梅尖,"打残虹拳, 50w, 游手好闲, 淫虫, 艾淋梅尖"
犯罪的小仙女都有病捏,犯罪、有病
太对了 我也是男童 我巴不得那些恶心的男童(占大部分）都去死??,"恶心, 去死"
以前觉得不能盲目看不起别人，可惜现实是黑外教、黑留学生垃圾真的多。,"看不起, 垃圾"
以前男人还留长发，穿裙子……来来来搞起来，男拳师复兴起来,男拳师
默错过了没有奸到，恼羞成怒,"奸, 恼羞成怒"
再一个，眼睛不要的话，这边建议您捐出去呢,不要
至于普信男，呵呵那些金针菇除了抱团取暖就没有别的本事。游艇？你让普信男变魔术还是变魔法呀,"普信男, 金针菇"
偶然看到，就评论一下。都是人类，性取向就是萝卜白菜，各有所爱，没有什么高低贵贱。只是想到男男，生理上超级排斥，也就是感觉恶心,"超级排斥, 恶心"
很合理啊，这不就是正常要求嘛？可惜蝈女基因不行。估计完成不了几条,蝈女基因不行
应该不仅仅停留在批判，应该竭尽所能去歧视，特别是他们的下的黑皮崽。,"歧视, 黑皮崽"
我190+，但是这种墓垢还是铁鲨鼻,墓垢
一个烂货，有老公，有小孩，喝酒抽烟出轨，乱搞男女关系。开了私密模式，关了私信功能，私信不了，只能在视频评论区艾特她骂。,"烂货, 出轨, 乱搞男女关系, 骂"
有些直男只是单纯恶心 男同do爱吧,恶心
男人变态有什么错,变态
不评论，不支持是因为不可能改变同性恋很恶心这种观点。既然说了就政治不正确，还不给别人不说的权利？,"恶心, 不正确"
这就受不了了？知道美国多少白男为了追小仙女玩极限运动，命都没了吗？,命都没了
因为知乎上自称歧视黑人的中国南方人只嘴炮，现实见到黑人p不放一个，而白人歧视黑人不网上歧视，在现实见到黑人常常敢动手,"歧视, 嘴炮, p不放一个, 敢动手"
人家是真的敢办事儿的，裸体游行、终身不婚、单亲养子。国内的女拳拿啥跟她们比？??,女拳
小仙女能在别人身上找原因的时候为什么要反思自己呢,反思自己
这下姆蛆help姆蛆了,姆蛆
默滚出中国就行了。,滚出
我也厌女现在越来越讨厌了,厌女 讨厌
你??我好心相劝却被基佬拉黑,基佬
其实韩国人。。。娘炮。。。??????,娘炮
借个楼哈，原贴被删我就在这里发了。这个人把我恶心到了。,恶心
饭桶蛆们不知最会精神胜利的是他们那位大飞株开着几十个小号自我回复轮着对骂的小丑,饭桶 蛆 小丑 对骂
我在这里骂txl没码，各位没有意见吧！,"骂, txl, 没码"
"南满:我们南方才不吃你们北方的粮食，我们吃的都是南方的粮食。北方人:断粮。南满:oh,no!米怎么这么少了，怎么买不来米了，面根本没有卖的。",断粮
？？？有人造子宫我家众筹一个孩子就行了，要这种幕刃给我添堵吗？？,添堵
抛开事实不谈，新时代小仙女找个接盘的拳力都没有了？气冷抖,接盘
混血，眼睛是蓝色，混了白皮猪的血,白皮猪
肯定自己有原因，但是他们已经上升到整个东北人都是垃圾，低劣的种族，应该灭绝的地步,垃圾 低劣 种族 灭绝
现在还有人把洋垃圾当宝吗,洋垃圾
母狗冲进来啦,母狗
浙江 还有狗腿子四川,狗腿子
真的有些腐癌还有喜欢基，雷百合的，还是好看的基，这也太双标了,腐癌 基 雷百合 双标
躺平不意味着放弃斗争，正是因为没有了后顾之忧才能一心一意地反女拳反到底，某些二极管想想是不是这么个道理,反女拳
自己待的什么破公司自己没点b数吗,"破, b数"
我感觉男同性格残缺或是怪异的可能性很高，和普通人相比。有些人是因为某些事情刺激后天成为男同，然而这类人也容易变得很怪，很极端，甚至很恶心。我指其中部分人,"残缺, 怪异, 怪, 极端, 恶心"
犬现狗楼主你是变态吗？,变态
“极端女权，极端男拳”，真nm双标,"极端, nm, 双标"
这垃圾酒，喝他妈,"垃圾, 他妈"
小仙女根本不怕你们躺平而是外娶,"躺平, 外娶"
我们应该联系男权吧，就算大男子主义再怎么样也应该不会支持男同，更别说女同了,男权 大男子主义 男同 女同
对那种媚黑的有恶意,"媚黑, 恶意"
一个垫步侧踢踢废这些幕刃,废
异性恋比同性恋多好几万倍，肯定异性恋高。很多恶心的既同性又异性恋的，把病菌感染给自己的异性恋伴侣关键这病毒根源就是同性恋,"恶心的, 病菌, 病毒根源"
幕刃和理客中一样恶心,恶心
还有俩男的争一个，当街打架扇嘴巴，当街舔，真恶心,争 扇 恶心
你想多了，倒贴，媚黑女倒贴??,"倒贴, 媚黑女"
老僵尸闻着味都能找到坟,老僵尸
哈哈 我在乍得 这边小黑两瓶可乐就可以给你当一早上力工,小黑
来不及了，女拳小队轨道空投仓先来一波,女拳
这人知名女拳，散了吧，不用理,不用理
基佬破防了，急得大号和小号说话,"基佬, 破防"
少数民族是少数民族，少数民族就算文化水平差点，但至少大部分还是遵纪守法的，黑小子们可就不一定了。好的幼儿园或学校，家长们很多都是有一定能量的，要把黑小子搞出去，总是有办法的。,"黑小子, 文化水平差, 把黑小子搞出去"
要不要一起组队猎杀默和easygirl,猎杀
你发正常的帖子是钓不到同性异蛆的,同性异蛆
彩礼吧本来就是农村小仙女聚集地,农村
黑人繁殖快的原因是黑女无脑怀孕，无脑哺育,"无脑怀孕, 无脑哺育"
加两个0吧，一百万小仙女几个月就花完了,None
我对反同组织，不支持不反对，但不希望宣传，因为反对同性恋很明显是西方派来分裂中国的阴谋，而总有很多人进入了圈套,"阴谋, 圈套"
国男找黑女和国女找黑男一样让人恶心，你的问题结局了，你的混血二代还要在中国找？炫耀非洲媳妇被女的喷的我一点都不同情，双标就是双标。,"让人恶心, 问题, 喷的, 不同情, 双标"
上海人路过，我有时候特地喷喷这种有问题的人发泄一下垃圾情绪，上海是风口浪尖的地域黑这种事从来不缺席??,"垃圾情绪, 地域黑"
又不喜欢小黑来国内。,不喜欢
幕刃已经很可怜了，色情上服务男性，穿暴露会被指点，婚前破了是没贞操，力气小，参政更少，孩子还大部分跟男方姓,"可怜, 色情, 暴露, 没贞操, 力气小, 参政更少, 跟男方姓"
拳师的台词我都预备好了：歧视，歧视，还是歧视??,歧视
那个铁钎子应该是用来缝那些收不到礼物瞎寄吧酸的畒的嘴的,"铁钎子, 缝, 酸"
最好别找，媚黑的女人已经烂到根了,"媚黑的女人, 烂到根"
渣的人不分性别不分人种，犯罪就是犯罪，就事论事，上升到群体就不好了，还有黑女受教育程度高这个不准确吧，重男轻女男尊女卑严重的地方女性就是生育价值啊,"渣, 上升到群体就不好了, 重男轻女, 男尊女卑, 女性就是生育价值"
也就是单纯的觉得和黑人好的女人都是脑子有毛病，智力有问题，这种傻子那个男人肯要,"脑子有毛病, 智力有问题, 傻子"
nba的确作为篮球顶级殿堂，喜欢篮球喜欢nba很正常，但是崇拜球星，特别是那些品质极差的真的脑壳有包，以前还看过希望用爹吗换qj犯复活的呢,"脑壳有包, 希望用爹吗换qj犯复活"
需要那么多嘴炮政客？还是黑皮。,"嘴炮, 黑皮"
黑南方的都是北佬。你们北方就一个北京，我们南方有上海，广州，香港，深圳，台北六个一线城市,黑南方的
女士优先绅士风度这些是从西方传进来的东西，男女平等才是国策，西方紫苯滋养了女拳,"紫苯滋养, 女拳"
崇拜黑人的跪族男孩至少不给黑人生猴子的吧？??,"跪族, 生猴子"
是的，二鬼子征的女大学生慰安妇。牺牲一代妇女，振兴?,"二鬼子征, 慰安妇, 牺牲一代妇女"
不管你是偷的图还是去wb看的我只能说少关心慕√那点批事儿,"偷的图, 批事儿"
我们的孩子不会这样。这些都是猩猩。,猩猩
直佬日常出新花样罢了,直佬
看到你这帖子，确定你就是***媚嘿奴隶了,奴隶
恶心，做室友晚晚遗精。,恶心
伞兵，我是友军，没看我是高级黑吗,高级黑
下贱的杂种,"下贱, 杂种"
这正是这样不会把自己人推到对立面，要知道许多媚黑只是排黑目光的产物，她们其实和默没爱情，如果真有的话她们为什么不美黑呢一个个妆化的那么白。,"媚黑, 排黑, 没爱情, 美黑"
我不认为，小仙女，老仙女能做得来，每天不但要搬重，还要晒太阳，对于小仙女来说，工资还不够买防晒霜,不认为; 搬重; 晒太阳; 工资还不够
这种男人也是极少数，像我这种只是单纯的普信罢了??,普信
哦？腐癌说的不是txl？??,腐癌
黑河南、黑北方的都是喃蛮,黑河南、黑北方的都是喃蛮
就是这个垃圾，天天刷屏,垃圾
舔狗都是很恶毒的男淫。它们自己未必真对女人好，只是希望全天下男的都当跪男，这样，它们才有一点优越感。,舔狗 恶毒 男淫 跪男
既然是喜欢，那就喜欢好了，一直跟着那黑人啊，为啥要来找人接盘，这不是恶心人吗,"黑人, 恶心人"
感谢lz的社会实验证明小仙女就是想做,None
可以当小三啊，又不违法，至于一夫多妻，你以为有钱人是傻子，你没有利益交换的价值干嘛娶你？娶你分家产？,"小三, 傻子, 没有利益交换的价值, 娶你分家产"
恶心死了！,恶心死了
所以对立场偏向母畜方的小作文，我现在是一概不信?,母畜
不要看到几个就觉得霉黑很严重，反正我见不少黑人，只看到一个体重两百斤的没黑女和黑人在一起,"霉黑, 没黑女"
广告宣传是女拳重灾区，也是私企现在唯一被女拳把持的地方。不认品牌，让私企裁掉广告宣传部门，网络女拳消失一大半。,"重灾区, 把持, 消失一大半"
破吧完！（前两张我发贴被删，后一张举报女拳的）,破吧完
孙杂能不能速度点出来给本帅哥跪下，一个个都被本帅哥一牛子捅哑巴了吗,"孙杂, 跪下, 牛子捅哑巴"
什么仙女营销号，这么快就破防了,破防
所以为了不产生家暴建议女拳嫁给黑黑,家暴
彩礼吧老早被女拳傻卵们占领了。,傻卵们
我tm用手机看还能怎么看,tm
浦东惠南地铁站经常看到黑人出没，应该是那几个外国语学校的留学生或者洋垃圾黑外教，发现它的窝就举报它,"黑人, 洋垃圾, 黑外教, 举报"
酿了个皮的尼玛的天灾也特么黑,尼玛 特么
有人为了骂原，甚至会和女拳站一边吗？,骂
那么小号来来好好过来看你们国际鬼子虫类及其它们后代虫混的翻身做所谓人类又是怎样面貌,"鬼子, 虫类, 虫混"
你应该可怜那些地域歧视的人 他们就是活在网络上的蛀虫,地域歧视 蛀虫
从某种意义上来讲，在座各位都要感谢杨笠，她把大部分小仙女心声说了出来,
请问男权吧和女权吧有什么区别呢，一切都以能动手就不好好讲话为主，发表都是些什么智障言论,能动手就不好好讲话 智障言论
b站都变味哈样了，女?一路打到这，看番软件没好番，天天打?，还有就这种打拳学历能高？太瞧不起博士了吧,"变味, 没好番, 天天打, 打拳学历能高, 瞧不起"
应该把你这种黄皮黑比物理阉割,"黄皮黑比, 物理阉割"
这男的也是个舔狗，这种情况下还不下死手起诉法院,"舔狗, 死手"
基佬还是看看HIV吧吧,"基佬, HIV"
可以让大家看看国际鬼子虫类及其它们后代虫混居然敢使用人类词汇的帅究竟是什么心态其它百分之99的野生动物会怎么想,"鬼子, 虫类, 虫混"
飞周多穷啊，别听她的，会后悔的。去飞周做小老婆，从她嘴里也说得出。,穷 别听她的 会后悔 小老婆
管她怎么定义，仙女的话就像放大屁,放大屁
慕勾是这样的,None
劣信幕刃真下头,劣
是弯弯还是小崽子，如实交代得了,"弯弯, 小崽子"
嫁娶我看都一样，都是一半基因。黑男黄女和黑女黄男生的孩子都一样黑,黑男黄女 黑女黄男 孩子都一样黑
重点是又不是她们取得的成就，照她们这么说，男的牛逼的那么多那我也很牛逼，真的是明明那么普通却那么自信，别人努力的成果，她们在这里意淫打拳,"牛逼, 意淫, 打拳"
骗婚基佬你良心不会痛吗,"骗婚, 基佬"
黑蛆无孔不入。只等潳令。,黑蛆
那你为啥要用甄嬛传的图？人家那可都是正常性取向，沙峦,沙峦
母系社会为什么会变成父系社会呢？因为女人求着男人负责。现在怎么变成男人求着女人结婚了？这种脑瘫文学还是一如既往的味道，强行大前提男女能力一致，强行空降强权逻辑。,"脑瘫文学, 强行, 空降, 强权"
说明一切地域歧视者都是蠢或者坏！或者二者兼备,蠢 坏
我国那么多老艺术家离世的时候尼孝子们也没这么悲伤过,孝子们
扯淡，又不是逼良为娼，媚黑女都是自甘堕落好吗。,"扯淡, 逼良为娼, 自甘堕落"
她是让男人都当舔狗，是这意思吧。,舔狗
你急什么啊？好国男自然配好国女，你竞争不过好国男，又不想找eg，最后找了个越南??，还在这同情好国男呢？好国男表示，你谁啊？可别代表我，我手里没香蕉。哈哈哈。,"竞争不过, 越南??, 你谁啊？, 我手里没香蕉"
男权是成不了气候的，反女权倒有可能，想要崛起还得让女权把舔狗龟男打的退无可退，事实就是男理中客舔狗龟男一抓一大把,"舔狗, 龟男, 退无可退, 理中客"
带头的属于是恰烂钱的，跟风的就是铁nt,烂钱 铁nt
外卖送到都是有时限的，没有按时让顾客收到外卖还不允许给差评吗？居然还普信男指责受害者！难道普信男都是送外卖的吗，经常被差评敢怒不敢言？真是太下头了！,"普信男, 受害者, 下头"
小仙女捅你是看得起你，你看她不嫁给你，外面多少人排着队求捅呢,"捅, 不嫁给你, 排着队求捅"
你知道和狗狗吗？这就很容易解释郭南为什么觉得默过的女人很恶心了。,恶心
那不是废话吗棒女是靠嘴炮、靠动员力，靠政治运动，才有的如今的声势、地位，她们又不像棒男强制兵役接受军事训练。怎么可能在实战上打的过塔利班,"废话, 嘴炮, 棒女, 棒男, 强制兵役"
赞同啊，这样的恋爱经历请一定要跟未来男人坦白，因为这也是一个试金石，如果他是个狭隘的国男，就不可能过得下去，大家的道德标准和三观不合。,狭隘的国男
这儿也有nt通讯录出没，不过比起我之前呆的反同恋吧好多了,"nt, 反同恋"
那个傻卵是反串的理客中阴阳人，大家注意一下。,傻卵 反串 理客中 阴阳人
这七条狗还非法人肉，线下打拳，十有八九涉黑涉暴，只要主播有打算起诉，这七坨fw妥妥的进去,"狗, 非法人肉, 涉黑涉暴, 七坨fw"
说实话，马丁路德金很伟大，他的梦想实现了，全世界的兄弟们都以人品来看待别人，以及铌铬，想想什么人会77%没有父亲吧,77%没有父亲
16楼是个基佬。,基佬
现在被基佬删了,基佬
幕刃不值得同情,不值得同情
这女的是不是贵物啊？自己弄撒别人收拾烂摊子。?,"贵物, 烂摊子"
小仙女的事你少管,少管
杀了这头母狗,"杀, 母狗"
长的一张几把脸,几把脸
黑人如果多了，闹分裂了，圣母们担的起这个责任吗？,"闹分裂, 圣母"
txl能不能滚出反同吧，你们没有自己的吧吗？,滚出
放在没有女拳的时代我们可以浸她猪笼,浸她猪笼
你这帖子一发，我就想到鸡你太美。我们说他长得是个屎你们又不同意。,屎
吧务和几个等级高的蛇鼠一窝，整天高强度巡逻删评，双标玩的飞起,"蛇鼠一窝, 双标"
因为网络世界和现实不一样的，网上大家可以胡bb,胡bb
男权最大的错误就是现在就反击了，欲令其亡，先令其狂。大部分舔狗都绝望了才是出手时机，出手太早只会让她们温和的处于优势地位，就像房地产尾大不掉。,"男权, 欲令其亡, 舔狗, 绝望, 温和的处于优势地位, 房地产尾大不掉"
看见这张猪脸就生理不适,猪脸 生理不适
母狗是这样的,母狗
有的人不打拳，却比拳师更恶心,恶心
主要是被嘿嘿玩过的，那不是一般的思想，那得多么的。。。,嘿嘿
那是txl吗,txl
应该禁止黑沙口进店或者在居民区附近，把他赶到森林里。,"禁止, 赶到森林里"
真是小看基佬们的无我精神，梅艾淋都不怕，还怕一个小小的猴痘,"小看, 基佬, 猴痘"
小仙女是这样的捏,
这酒十分地珍贵，应该让小仙女先喝。,None
妈呀这肥猪好恶心,"肥猪, 恶心"
我本来不厌恶男同，直到看到他们骗婚，妈的，自己结婚，伴郎全自己炮友，结婚前一晚酒店还来一炮的那种，还想让人尊重，笑死,"厌恶, 骗婚, 妈的, 炮友, 笑死"
花钱去讨好一个依附你的吸血虫？,依附 吸血虫
其实大街上偶尔看到黑人白人都很正常，但主要黑黄混血，看到了就觉得恶心，不伦不类的??,"恶心, 不伦不类"
腐癌说的不是txl呀??????,腐癌
所以，我已经恶心死了。,恶心死了
小仙女真是心地善良呢，为什么不让流浪猫住进她家呢,None
太可怕了，之前我们学校有个同性恋也是个巨胖的，一直骚扰他的舍友，每天给舍友发几十条微信啊,"太可怕, 同性恋, 巨胖, 骚扰"
女拳男能不能414阿？,女拳男
这种人就纯粹是同性恋里的败类，人们对同性恋不好的印象几乎都是这些人搞得。,"纯粹, 败类, 不好的"
这就是你们txl的好队友吗？,txl
猪溜溜就是这样，讲不赢就拉黑然后自己编故事你这只猪溜溜搞那么多小号还凉面都吃不起我第一次见猪溜溜这样辟谣的笑死我了,"猪溜溜, 讲不赢, 拉黑, 编故事, 小号, 吃不起, 笑死我了"
那是女拳，我已经在评论区说过了，极端男拳女拳都是烧饼,烧饼
简单地说，“我”网络上可以重拳出击，一喷喷一片，现实里面友好相处，尊重女性，如果发现身边有谁媚黑，那不好意思，一票否决,重拳出击 一喷喷一片 媚黑 一票否决
小仙女都去非洲追求自由爱情了，你还想着要她们回来？回来干啥？回来继续PUA压榨国男？,PUA 压榨 国男
这是一个基佬群,基佬
兄弟你不知道再那个小強loveyu眼里你这些都是键盘侠比如你举那个现实当中做的列子就比如房东也开始不租房子给虫类了，或者直接以租房子的名义看虫类护照，没有？直接拿起电话拨打。在那个小強loveyu眼里你也是键盘侠,"键盘侠, 虫类"
节奏营销号和无脑女粉的大型双标翻车打脸现场,"无脑女粉, 双标, 翻车, 打脸"
所以他是男的吗？像个小屁孩啊,小屁孩
当个孙杂咋还光荣起来了,孙杂
这个基佬人面兽心还叫帅天理何在！,"基佬, 人面兽心"
我知道有不少黑乐色的奴才们举报我，这是他们的特点，因为耍刘忙遇到硬茬子了，耍不过了，开始寻求所谓的合理手段了,"黑乐色的奴才们, 硬茬子"
这还需要纠结？一句话伞兵就完事了,伞兵
你才jb瞎，全国就这么几个省发电量大于用电量，能做到大量外送电的四川是出于最优越的位置，蛇皮东西，真想把高压电线拉你身上给你醒醒脑花傻呗tui,"jb瞎, 蛇皮东西, 高压电线拉你身上, 醒醒脑花傻呗, tui"
基佬如果被身边的人知道了基佬身份它会不会天河,基佬
当个txl还光荣起来了，一边喊别歧视，一边四处发情。。你们不到别人的圈子发癫，人家会理你？,"光荣, 歧视, 发情, 发癫"
幕刃智商堪忧，整容一劳永逸，化妆到妈不认，约炮可以，长时间哪个男人受得了？,"智商堪忧, 整容一劳永逸, 妈不认, 约炮可以, 哪个男人受得了"
楼主你知道你挂这个人他的真实身份就是曾经被虫类爆过菊花有着一段和虫类及其它们后代不得不谈基情故事,爆过菊花 基情
在现实中唯唯诺诺，在网络中像圣母一样支持黑人,"唯唯诺诺, 像圣母一样支持黑人"
小仙女的后宫可以贷款帮她完成任务诶,
男生的钱也是钱，男生的钱男生自己花！抵制舔狗，拒绝上贡！经济自主！,舔狗
我有被东北人喷过扬州三屠和南京大屠杀是我们活该??那怎么说,喷 活该
这种nt言论一看就是七尺大儒，也只有他能做到了,nt
不过不会就是嘿嘿吧？,嘿嘿
你认为纯洁美好，我们就不能觉得恶心反感了？道德绑架玩得66哒！~~~,恶心反感 道德绑架
支持：沙湖清真食品吧，我是回族吧，回民贴吧吧，伊斯俩目吧。加入反同,反同
兄弟，辛苦了，现在喷吧基本被拿下来了，就鬼母跟几个还在苟延残喘，好好休息，明天再战,"鬼母, 苟延残喘"
上海黑起别的地方也是不遗余力呢,黑起不遗余力
国内的女拳忽悠别人终身不婚，忽悠别人单亲养子??,忽悠
对待黑蛆直接清空弹夹完事,黑蛆 清空弹夹
你就差与猩猩终成眷属了！?,猩猩
你要是找个黑人我还敬你是条女孩子，结果你找个巴铁?,"黑人, 巴铁"
这不纯纯亩?,纯纯亩
理客中跟女拳是一回事所以一起超度掉就可以,超度掉
这个垃圾，绝对是黑杂子,"垃圾, 黑杂子"
这样的后果就是会进化出来一种叫粉红女拳的东西，到时候你反拳就是反红,"粉红女拳, 反红"
这种垃圾不值得生气，他会有报应的，现在就身染艾资，想害更多人,"垃圾, 报应, 艾资, 害"
sb！真正聪明的男人已经留下了种子还不用负责！,sb 留下 种子 负责
我们小区也有个金发碧眼的小萝莉 家长们都挺喜欢的 因为真的长的超级可爱 活像洋娃娃 而且人家父母都是高知分子 但是对那个没爹的混血小黑态度就不一样了??,"没爹的, 混血小黑"
给女狗送温暖,女狗
但像中国女拳这种以给外国人做性奴为荣的女性，确实让人无法理解，匪夷所思，地球上找不出第二个类似民族的女性,"性奴, 无法理解, 匪夷所思"
男的还是女的失业抑郁？男的话太惨了，女的话真是活该,"太惨了, 活该"
所以没错为什么改？直接普信男小仙女打起来啊,普信男
如果有恶熏的txl帅哥记得艾特我我来打击惹,"恶熏, 打击"
在王者开个变声器打打辅助取个软甜仙女名，舔狗和米分分钟来，数麻了,舔狗
没事，不是说舔狗很多吗？幕刃召唤舔狗就算了,舔狗
南满总是旁敲侧击着、变着法的黑河南、黑北方,黑河南、黑北方
他们没有智商,没有智商
反女拳是因为：他们并非善类，绞尽脑汁把广大女性作为工具，来发泄他们对夫权和父权的仇恨。（对女性也没有善意，一旦女性有不同观点不同价值观，也同样会被他们攻击辱骂）,"并非善类, 绞尽脑汁, 发泄, 仇恨, 攻击辱骂"
可是，你就算喊得再大声，也不会有人理你，情况也不会有任何改观，生活中你还是一条卢蛇，也透不到批??,"卢蛇, 透不到批"
豆瓣是女拳掌控的啊,女拳
有些幕刃真的是。。。。,none
建议把你的观念传递给你周围的姐妹，既然z/z不从严处理问题，我们就要自觉形成反黑意识，不能让懵懂的女孩受到伤害??????,"懵懂, 受到伤害"
倪哥能不能死?,死
南京脏话是真脏，口音还尖锐沙哑，呆比呆比的脏话，掉的一批??,"脏话, 脏, 尖锐, 沙哑, 呆比, 掉的一批"
一群母狗什么事做不出来,母狗
关键她们别留在国内啊，等到中国遍地黑娃娃，看着就恶心，??,恶心
说了多少次，拳师的目标非常明确，就是把蝈腩干死，彻底的把蝈腩变成自己的血包别人说啥干啥，只要不是给蝈腩打气，她们都不会管的,干死  血包
该??的女?成事不足败事有余的fw,成事不足败事有余
往全体上骂不是所有女拳的特权吗，那件事没有骂全体的见怪不怪,骂 全体 特权 见怪不怪
这肯定怕啊！就像我不排斥找欧美白人帅哥的女生，毕竟看到那些帅哥我一个男的都喜欢，但是女生们非要找又丑又穷，还要倒贴的垃圾，我就是在费解了！,"丑, 穷, 倒贴, 垃圾"
带清。正黄。还能蹦哒蹦哒，何况嘿嘿呼？,"带清, 正黄"
恶心！滚去非洲，别把串串留在中国,恶心 滚 串串
你玩的默都玩腻了，你没玩过的默也先玩了??,腻了
算了，女拳只有极端和温和,极端
政治正确这个词用的好，现在接受同性恋居然变成了主流，对同性恋稍微表示恶心居然就成为了反面派,恶心
本质是不自信，活该,活该
反正基佬来山东河南河北 只敢学艺术文科,基佬
希望早日实施黑蛆清楚计划,黑蛆
被默光顾过就让默带走啊，留下来祸害同胞？,祸害同胞
如果你把基佬打伤，他的伤口沾到你的血或体液，他就会感染hiv。,基佬 打伤
你怎么骂基佬我也不生气我也不是男的我还有男朋友,"骂, 基佬"
网上打拳的都是男的有钱挣,无
姆搐什么猎奇,搐
人家塌马是对象，活该被打，要是我我也不管，要不你管了之后这个表字又说你打她男朋友,活该被打 这个表字
你没有必要强调自己的性取向，因为没人会喜欢你这头正宗肥猪,正宗肥猪
反正女拳都爱黑人??,"女拳, 黑人"
现在批站拳师确实越来越多了，md昨天看个冷门动漫弹幕里都有拳尸恶心人,"md, 拳尸, 恶心人"
黑人玩腻了就离婚，据说这个离婚了，离婚前说得多好。飞周人很多病的,玩腻了 很多病的
幕刃骂多了反而对这句话不感冒了说这么一句话本子就能治她，反观我们这里，批话更多更臭，其中还有龟男帮着一起说真不知道我们还有多长的路要走,"骂, 臭, 龟男"
屠黑屠绿屠同性，爱国爱党爱人民,"屠黑, 屠绿, 屠同性"
我先说，礼让女人和龟男是不同的。你要出让好处，前提是你能拿到更多的好处才值得。和打工一个道理，你加班，只有拿3倍工资才值得一样。,龟男
是有很多中国女拳友，还是脑子不好使那种,脑子不好使
那还有假，这些黑醋最喜欢做的事就是伤害别人，干违法乱纪的事,"伤害别人, 违法乱纪"
有个个张口“普信男”的微博在，小孩怎能不有样学样。,普信男
变态同性恋，用词精准,变态
暴漫里的一群弱智小学鸡还帮黑鬼说话,"弱智, 黑鬼"
基佬真不是一般的恶心。,恶心
我评论长沙女拳之都就破防了，你说你咋那么怂，怕我看见你是大肥??吗？都是现实里没人看得上,"怂, 大肥, 现实里没人看得上"
楼主你不懂有些跪虫族就喜欢这些像黑猩猩式唱唱跳跳所谓比如就像众跪虫族就喜欢类似文化可见精神世界到底有溃乏,"跪虫族, 黑猩猩, 唱唱跳跳, 溃乏"
起码自私 中国上到公务员 下到服务员 到要求五官端正 形象气质佳 黑不溜秋的除了进工厂 连工作都找不到 如果是黑人土豪还情有可原,起码自私 黑不溜秋 情有可原
"萨沙这种优秀男士，非常了解中国国情。可能真的看不上国内eg,中国的脸面让中国eg丢尽了",丢尽了
因为你们这些无脑舔黑的人，才导致国人恶心他们，,"无脑舔黑, 恶心"
这黑不溜秋怎么有人喜欢。,黑不溜秋
反黑逗士，你到底想干嘛？我真是太累了，整天就看到你在说一些让我们很匪夷所思的话！说实话，海牙其实还算一个正常人，你他妈就是个SB,"太累了, 匪夷所思, 他妈, SB"
我觉得我也思想有点问题，是个女生双性恋，但是我觉得女女可接受（因为我也是）但是我觉得男男有点ex???我一度怀疑自己是不是毛病...明明自己也是被这个世界不认可的人居然会有这种思想，真的很不好意思,"问题, 毛病, 不认可"
实话实说，这小黑孩的照片我居然感觉有些惊悚,"小黑孩, 惊悚"
可以查一查现在中国艾滋病多少了，郭女现在相对白女，干净这一优势基本没有了,"艾滋病, 郭女, 白女, 干净"
关键是被默玩腻了就会找老实人接盘,"玩腻了, 接盘"
你还真不要小看舆论的力量，有很多事情都是迫于舆论的压力才得以解决，如果大家都保持沉默，那才不是个好现象，不光要反对三非，还要反对在国内的所有洋垃圾，还国人一片净土,洋垃圾
原来这个吧有反虫吧主不过最后就是被跪虫族就整掉然后过家和百毒从此就监管此吧把这个吧弄成无主之地,"跪虫族, 整掉, 过家, 百毒, 弄成无主之地"
复印还得是你们txl厉害，搁知乎上一复制来这一粘贴就把正常人的智商否定了，就那两个赞的文章谁信谁才智商有问题,"否定, 智商有问题"
你这就错了。在你看来去非洲是好的，天龙人可不这么认为。,"错了, 天龙人"
这年头，什么人都能叫直男癌，女拳就是喜欢给人乱贴标签…,"直男癌, 乱贴标签"
额，炼铜txl能不能④,炼铜
归根究底，广大普通女性若是靠近普信男，会不幸。这是最正确的结论。,"普信男, 会不幸"
真娶回家一个个懒的跟猪一样唯一运动就是逛买玩吃还真有脸说,"懒, 猪"
每天都能在贴吧里发现脑瘫，真是太好了,脑瘫
我家有个日货电器，当时听人说好没看牌子就买了，花了一万两千块钱，攒钱攒了很久，没舍得砸，你们反同的“爱郭人士”有哪位给出一万就行，我砸掉,"反同, 爱郭人士"
真想砍死全部猩猩,砍死
我只是单纯的歧视，实在不行，我哪怕娶一条狗，我都不会娶一个黑人，同理，我哪怕娶一个援交的，都不会娶一个跟黑人谈过的，哪怕是处女都不行,"歧视, 黑人, 娶一条狗, 援交, 处女"
幕刃瘠薄又逮着“理”了,瘠薄
所以你是个贵物,
图片上那个什么傻卵七海玩意是什么沸物勾八尸体？,"傻卵, 沸物, 勾八尸体"
支持正义执行！txl再不管管，气候变暖又要加重了。,txl
因为默的长相不符合我国大部分人的审美,不符合
太爽了，打死这帮乱咬人的女拳,"打死, 乱咬人的"
