Sentence,Toxicity Level,Tone,Language,Implied Sentiment
"Спочатку ти обіцяєш їй забити цвях, а потім забиаєш хуй.",High,Sarcastic and Mocking,Vulgar and Disrespectful,Disdainful
"Блять, уйобую нахуй в Острог і не вертаюсь. впізду",High,Aggressive,Confrontational and Vulgar,Hostile
і хтось це ябо я не пизджу чуже,High,Aggressive,Vulgar and Insulting,Defensive
"Блять, заїбала ця хуйня, іди в сраку з тим",High,Aggressive,Profane and Offensive,Hostile
"Тепер неясно, чи то малолітня шлюха, яка в 14 родила, чи просто турботлива сестра.",High,Derogatory,Offensive and Insulting,Disparaging
Хто рано встає - той більше хуйні встигає натвітити.,High,Cynical,Vulgar and Derogatory,Negative
Ну я єбанутийНо не на стільки,High,Self-deprecating,Vulgar and Offensive,Self-critical
"це ж блять релігієзнавство, ти ще до політології десятки джерел читай",Medium,Dismissive,Confrontational,Frustration
блять шо за питання взагалі,Medium,Sarcastic,Confrontational,Annoyed
"я маю враження, що він непогана людина, яка несе багато хуйні.",Medium,Dismissive,Insulting,Negative
"Щоб у мене все було добре, тре лиш секс і шоб мудоблядські суки здохли.",High,Aggressive,Vulgar and Insulting,Hostile
"Можно купувати квитки, але блядь.",Medium,Frustrated,Vulgar,Annoyed
"-Пацани, так а хто за кого вболіває?- в смислі? пішов нахуй, ми футбол дивимось без тебе, шо за вапроси",High,Aggressive,Offensive and Confrontational,Exclusionary
"можеш послати мене нахуй, якшо хочеш.",High,Aggressive,Confrontational and Profane,Antagonistic
"тре було послухати, чому моя доповідь хуйова",High,Defensive,Confrontational and Insulting,Defensive
Мої тоже мене пиздять не зле,High,Aggressive,Abusive and Violent,Hostile
"о боже, як я ненавиджу таку хуйню.",High,Angry,Confrontational and Vulgar,Hostile
"кожна людина має право писати хуйню, це записано в конституції",Medium,Dismissive,Casual and Slightly Insulting,Cynical
"І всі, блять, вважають, шо їх проблеми найважливіші.",High,Dismissive,Confrontational and Insulting,Frustrated
"Блядь, хочеться взяти і повіситись.",High,Despairing,Vulgar and Suicidal,Desperation
"в мене на минулому тижні було замовлення, одразу нахуй послав.",High,Aggressive,Profane and Insulting,Hostile
"Неа, ти слішкам ахуєнний шоб хуєсосити треба",High,Dismissive,Confrontational and Insulting,Sarcastic
розфоловила глину ще до твітів румбамбара. так блять не хочеться розфоловлювать малину.,Medium,Frustrated,Informal and Obscene,Annoyed
"самі ж грають на руку таким ситуаціям, а потім розказують про вагітних і знедолених, господи, це пиздець :(",High,Frustrated,Confrontational and Insulting,Frustration
Домашня обстановочька так і спонукає забити хуй на все та побільше;),Medium,Informal and Disregardful,Crude and Casual,Indifferent
#ДОВЕЛИблятьМОГИЛЯНКУ RT : Ми поднімєм Магілянку с калєн!,High,Aggressive,Confrontational and Insulting,Hostile
"Вкладники Привата нахуяряться настоянки глоду, і потім російських послів стріляють.",High,Aggressive and Violent,Vulgar and Inciteful,Hostile
"Понароблюють хуйні, котра рветься після першого ж разу.",High,Dismissive,Confrontational and Insulting,Hostile
"Доки не пізно, сповідайся, якшо трахався з кимось із фоловерів.",High,Accusatory,Confrontational and Vulgar,Judgmental
"Поки я спала та мочила жопу в морі, ви пиздякали про айфон.",High,Mocking,Vulgar and Disrespectful,Disdainful
"АбоБлять викладач даунПіздец мене одногрупник заїбавБляяяяяять, зошит за лекцію закінчивсяСука, скоро сесія, за шооооо????",High,Frustrated and Aggressive,Explicit and Derogatory,Resentful
Мо спраглих за Вітєю тра просто відпиздити до кривавих сцяк?,High,Aggressive,Violent and Offensive,Hostile
"Мам, мені хуйовоі ржу.бля :D",High,Disrespectful,Vulgar and Informal,Negative
"Викликайте екзорциста, я зовсім охуїв.",Medium,Frustrated,Informal and Profane,Critical
Аа там пеперва під час пари хуйова,Medium,Complaining,Informal and Derogatory,Negative
"Так шо, то ваші проблеми, членоноси.",High,Disdainful,Confrontational and Insulting,Derogatory
"Я хочу вивчити ще багато мов, але ж блядь.",Medium,Frustrated,Informal and Insulting,Annoyed
#ЯкщоДніпроВиграє я перестану робити хуйню...,Medium,Casual,Vulgar and Informal,Playful
"Взяла сир-косичку, крабові палички, зробила Кривавої Мері та послала нахуй усе, що тільки можна.",High,Aggressive,Profane and Confrontational,Hostile
"Хвала небесам, що мені похуй на укладку",Medium,Indifferent,Casual and Vulgar,Apathetic
"Пилипишин - ахуєл, всі ахуєлі",High,Aggressive and Derogatory,Insulting and Vulgar,Hostile
'Я ахуєла і не вихуїлаЯк видалити пам''ять',High,Frustrated,Vulgar and Aggressive,Annoyed
- іду 'на ви'.  - іди на хуй!,High,Aggressive,Vulgar and Confrontational,Hostile
"Якби за кожну твою брехню я дарувала тобі по одній повітряній кульці, ти б давно полетів нахрен #думки_вголос",Medium,Sarcastic,Confrontational and Insulting,Contemptuous
"Анатомка, я тебе обожнюю, сука ти кончена.",High,Aggressive,Contradictory and Insulting,Hostile
"Отже, те, що одним під силу, іншим похуй.",High,Cynical,Vulgar and Disrespectful,Indifferent
мама: тобі б не мішало похудать і потрахатьсяя: мааам,High,Judgmental,Crude and Insensitive,Offensive
"Там блять у слові була не та літера, і, сука, ніхто не здогадався, що це просто опечатка.",High,Frustrated,Vulgar and Insulting,Angry
трахатись - це як рання весна :3,Medium,Casual,Colloquial,Amused
"якось стрьомно, коли бухе хуйло спершу вимагає пустити його в під'їзд, а тоді називає тебе сукою та погрожує",High,Threatening,Vulgar and Aggressive,Menacing
"А йде лише, сука, той, який у дорозі добу, їбучу добу.",High,Aggressive,Vulgar and Insulting,Hostile
"Загалом агітація задовбала вже - папірці сують,листи надсилають,додому суки телефонують(!).",High,Frustrated,Aggressive and Insulting,Angry
Як тільки зайшов почали стукати і кричати мол якого хуя так довгоТиц пиздиц,High,Aggressive,Confrontational and Insulting,Hostile
"Бо блять, там починаєш вводити назву, а воно не знаходить.",Medium,Frustrated,Confrontational,Annoyed
"Кидає мені, а я ж рукожоп.",Medium,Self-Deprecating,Informal and Potentially Insulting,Negative
"'Дуже часто це навіть необхідно, бо долбайобів терпіти зась, а вони ж знають, що ти наче зобов''язана.'",High,Aggressive,Insulting and Dismissive,Contemptuous
"блядь, жінко, там і тридцятник недалеко.",High,Derogatory,Confrontational and Offensive,Disrespectful
"І живи тепер з цим, ссука.",High,Aggressive,Insulting and Confrontational,Hostile
"Бля, піздос, не пам''ятаю де в мене пара, а в розкладі неправильний кабінет",High,Frustrated,Confrontational and Vulgar,Annoyed
"Блядь, собаки з усього району почали вити.",Medium,Exasperated,Vulgar,Frustrated
"Тому унилоє гавно залишається в КП, а я відправляюсь в путь.",High,Dismissive,Confrontational and Insulting,Hostile
тіки не кажи що та ж хуйня?)),Medium,Sarcastic,Informal and Vulgar,Disapproving
"Нє блять, я в кєдах поїду.",Medium,Defiant,Crude and Insulting,Rebellious
Або завжди можна трахнути самотню жінку за 40.,High,Crude,Vulgar and Disrespectful,Derogatory
"Тобто професори тримаються бодрячком, але всі розуміють, що повний пиздець",Medium,Cynical,Colloquial and Profane,Pessimistic
"Пацани що таксують в Über, не намагайтесь наїбати.",Medium,Advisory,Colloquial and Cautionary,Warning
" аххххах, бля :D даішники :D",Medium,Mocking,Casual and Vulgar,Disrespectful
"Бісять гуманітарії, бісять технарі, усі бісять блять, ідіть нахуй",High,Aggressive,Hostile and Insulting,Hostile
"Холодно стало, дєвок нє сталоПтічкі гавно перєсталі клєватьНе комфортно курити на балконі блять",High,Frustrated,Vulgar and Disparaging,Negative
"-Якщо ми будем так цілий рік салати по трохи їсти, то йди ти нахуй!",High,Aggressive,Insulting,Hostile
"Боже як скучно, нормальна людина вже пішла б спать, НО НЄТ, Віка ж спала півдня і тепер хуй засне",High,Dismissive,Confrontational and Crude,Frustrated
але ж він блять не переплутав дні!,Medium,Frustrated,Confrontational,Annoyed
"набити хуй, щоб хоч десь він у мене був.",High,Aggressive,Vulgar and Offensive,Hostile
"І там тебе знайду блеать, в мене віза на всі страни",High,Threatening,Aggressive and Insulting,Hostile
"І рибку, і на хуй, та?",High,Aggressive,Confrontational and Vulgar,Contemptuous
"Підходить промоутер на Волині, парить хуйню, відповідь жіночки:- Сонечко немаю часу тебе послухати, там дитя мене жде",Medium,Dismissive,Casual and Vulgar,Frustration
"Шо за хуйня Вже тиждень ниють м''язи в ногах (верх литки), і я ледве стою на ногах",Medium,Frustrated,Vulgar and Informal,Annoyed
"Якийсь трошки пздц з цим розслідуванням голаднців, ні?",Medium,Frustrated,Informal and Crude,Discontent
"блін, хотіла від когось відписацця, погортала подивилась, а всі такі коти ідіть нахуй",High,Aggressive,Confrontational and Insulting,Hostile
"Спитав пан Богдан, які ми знаємо три євоейські свята, і я спизданула РАМАДАН",High,Disrespectful,Offensive and Insensitive,Disparaging
"Ці їбучі уроди, які постять оголошення про кімнати, а потім не відписують...",High,Angry,Confrontational and Insulting,Hostile
"Нахуя хлопу дівчина яка вміє рахувати дискримінант, та ще й вишивати, що він з нею буде робити?",High,Disparaging,Vulgar and Disrespectful,Derogatory
#похуй #якою #мовою #головне #шоб #дохуя #хештегів #беззмістовних #було,Medium,Dismissive,Informal and Vulgar,Indifferent
"Я знаю, дякуюЩе мудака забула...ну і послати мене нахуй",High,Aggressive,Confrontational and Insulting,Hostile
"ти шо блять куриш, а я досі про то не знала?",High,Aggressive,Confrontational and Insulting,Hostile
От вам моя експертна думка: ніхуя англійці не розуміють в революціях!,High,Dismissive,Confrontational and Insulting,Contemptuous
"Ви звертали увагу, на скільки багато повилазило цинічної мразоти?",High,Accusatory,Aggressive and Insulting,Hostile
У французьких блогерів рве пукани.,Medium,Dismissive,Slang and Insulting,Mocking
"нахуй я сюди ходив – науці не відомо. замкнутий круг, нєбо вокруг.",High,Frustrated,Confrontational,Negative
"'Тому блять взяла і посмажила м''ясо собі, можна в пиві перед тим вимочити, але не блядь саме пиво пити..............'",High,Frustrated,Vulgar,Annoyed
"Хочеться насильно змушувати трахатись усіх, хто ниє.",High,Aggressive,Violent and Coercive,Hostile
Треба просто напросто не зв’язуватись з мудаками,Medium,Advisory,Derogatory,Disparaging
"З ""українськими"" змі боротись з утисками слабоди слова і давати в жопу за рублі, га?",High,Sarcastic,Confrontational and Vulgar,Hostile
"Дивлячись на те, як воно з іскрою в очах насрало в пюре, хуйовий із нього Рататуй",High,Mocking,Insulting and Vulgar,Contemptuous
"Мої одногрупники, що сидять попереду мене, жруть мандарини, зефір та сир.",Medium,Disapproving,Informal,Annoyed
я блять 2 тижні не можу провести необхідні мені операції,Medium,Frustrated,Confrontational,Agitated
а я блять думаю для кого яськів постила картінку,Medium,Frustrated,Confrontational and Casual,Annoyed
пиздуйте в вк ті дєла обговорювати,High,Aggressive,Confrontational and Vulgar,Hostile
"Що це твоя, блять, хата, а отже ти можеш хоч і бомжа привести.",High,Sarcastic,Confrontational and Derogatory,Contemptuous
то я дохуя того вчивщо вже не знав що вчити но треба було,Medium,Frustrated,Vulgar,Overwhelmed
На скільки справ ще не покладено хуй!,High,Disdainful,Profane and Aggressive,Disrespectful
"Так от, може за #ЛяВорк я і скучила, але ніяк не за йобаними ранковими підйомами.",Medium,Frustrated,Casual and Profane,Annoyed
Перестаньте бути мразями хоч на день.,High,Aggressive,Confrontational and Insulting,Hostile
"'зважаючи на моє мудацтво - ті хто не з''їбалися і можуть товаришувати - вони пройшли ценз, бггг'",High,Dismissive and Arrogant,Confrontational and Insulting,Hostile
блять як сенс життя с:,Medium,Frustrated,Vulgar,Despair
"Сидиш собі, і раптом як починає всіляка хуйня думатися.",Medium,Frustrated,Casual and Vulgar,Annoyed
І тут доїхало бгг блядь.,High,Mocking,Vulgar and Derogatory,Contemptuous
Всім похуй на вашу думку.,High,Dismissive,Confrontational and Insulting,Disregarding
Шей мамі бля 300грн віддав...,Medium,Frustrated,Informal and Vulgar,Negative
"Іди нахуй, це обідно :(",High,Hostile,Offensive and Insulting,Angry
"ох, львівські ранкові затори.не люблю, не скучила, йдіть нахуй.",Medium,Dismissive,Confrontational and Rude,Frustrated
"бля, я б так взула *___*",Medium,Aggressive,Confrontational,Hostile
"я вражений прямо в хуй. не знаю, чи зможу я з цим далі жити, ага.",High,Desperate and Vulgar,Crude and Self-Destructive,Despairing
"Коли педосівські старпьори знов мичать як добре жилось при сср,то нагадуєш їм,шо 3джі з мемасіками,зьявились іминно при укровласті!Замовкают",High,Derisive,Derogatory and Confrontational,Disdainful
бля вже весь твіттер знає шо ми живем як буржуї,Medium,Frustrated,Informal and Rude,Annoyed
"предмет не важливий, тож похуй.",Medium,Indifferent,Vulgar,Disregardful
Потягів без орущих піздюків не існує.,High,Contemptuous,Vulgar and Insulting,Hostile
"та будь ласка, те що я мудак то не секрет:)",Medium,Sarcastic,Casual and Self-Deprecating,Negative
знімай стрес правильно -пиздуй в магазин!,High,Aggressive,Confrontational and Insulting,Hostile
"Гірше за все прикидатися, шо тобі похуй.",Medium,Indifferent,Vulgar and Dismissive,Apathetic
"Блять, ви такі кумедні що пізда.",High,Condescending and Mocking,Insulting and Vulgar,Derisive
Шо там учити - бери й хуяч)),High,Dismissive,Confrontational and Vulgar,Unconcerned
"Та блядь, вони знають, шо є",Medium,Frustrated,Informal and Vulgar,Frustration
"Замовила, відправили....сукаааа чого ж в найкращих забирають життя...",Medium,Frustrated,Emotional and Offensive,Distressed
"Любіть Україну, бо Путін - хуйло.",High,Derogatory,Confrontational and Offensive,Hostile
"Ні, не розумієте(Відсилка до хуйової реклами)",High,Dismissive,Confrontational and Insulting,Hostile
Хочу дві роботи та жодної хвилини думати про хуйню.,Medium,Frustrated,Informal and Vulgar,Discontent
3. Послам похуй на Україну,High,Dismissive,Confrontational and Insulting,Indifferent
"пиздуй спати, бо подзвоню в 5 і ніхуя ти ващж не виспишся",High,Aggressive,Confrontational and Vulgar,Threatening
Але на справді Богуслав безсердечна сука,High,Derogatory,Aggressive and Insulting,Hostile
"будьте блять обережні з їбаними бажаннями, вони мають срану властивість збуватися",High,Aggressive,Confrontational and Vulgar,Cautionary but Hostile
"жопа ти, катя, - сказала мама і пішла робити мені каву)",Medium,Casual,Informal and Insulting,Disparaging
Згадав свій сон і це пиздець.,Medium,Frustrated,Colloquial and Vulgar,Negative
Вдягала ліфчик - відірвала к хуям бретельку разом зі шматком чашки.,High,Aggressive,Vulgar,Frustrated
"Я знаю,що ти це читаєш,Т.я його НЕ ПІКАПЛЮ .-.",Medium,Accusatory,Casual,Defensive
Просто бінго-комбо нахуй****40-річний співробітник відділу оперативного супроводження адміністрування ПДВ...,Medium,Frustrated,Confrontational,Negative
"Боженька оточує тебе мудаками, щоб перевірити наскільки ти готовий до пекла.",High,Hostile,Insulting and Derogatory,Malicious
Бо це теж та ще помийка блядська,High,Contemptuous,Insulting,Hostile
"Уся сіль у тому, що в цього чоловіка МЕДИЧНА, БЛЯТЬ, ОСВІТА.",Medium,Sarcastic,Confrontational and Insulting,Frustrated
Кусок живота з-під задертого светра - ух бля секс!,High,Objectifying,Vulgar and Sexual,Lustful
"До твого списку - дибіли, імбецили, шизануті.",High,Insulting,Derogatory,Contemptuous
Навіть коли спізданув цілковиту хуйню.,High,Disparaging,Crude and Insulting,Negative
Єдиний спосіб мати відстань між ляхами - цілодобово трахатися.,High,Aggressive,Vulgar and Offensive,Derogatory
"ота завжди з вами, хуй поймеш що в голові",High,Frustrated and Abusive,Vulgar and Derogatory,Disdainful
"Я дуже рада, що вам подобається моя жопа, але чи не могли б ви, будь ласка, лайкати і мою душу???",Medium,Sarcastic,Inappropriate and Vulgar,Ironic
"знатно я блять наїбнувся, якраз перед канцом Еполетс всі ноги болять, БЛЯТЬ!",High,Frustrated,Confrontational and Vulgar,Angry
"не варто стріматись,якщо не поводити себе як шлюха,то все ок буде.",High,Dismissive,Confrontational and Insulting,Derogatory
"Може коли ти стоїш біля людини, вона хоче тебе уєбати, а стоматолог тебе захищаєПОДУМОЙ",High,Aggressive,Offensive and Confrontational,Hostile
"мала бути*та бля, я замахалась вже виправляти помилки, кіл мі",High,Frustrated,Profane and Colloquial,Annoyed
"ну бля, чувствую себе як дитина яка накосячила і її приперли до стєнкі",Medium,Frustrated,Casual and Vulgar,Resentful
"Вмій, сука, визнавати свої помилки і вчитися.",High,Aggressive,Confrontational and Insulting,Hostile
"по-перше, більшість стоків і секондів нахуй подуріли з цінами!",High,Frustrated,Confrontational and Vulgar,Angry
"Зара ше жопу обмотаю, красиво, охуїти!",High,Aggressive,Vulgar and Crude,Disrespectful
Я ше під підїздом сиджу і всіх шлюхами називаю,High,Aggressive,Offensive and Insulting,Disrespectful
"Ей ю сі кей, блять.",Medium,Aggressive,Casual and Insulting,Disrespectful
На хуй зранку краще заходить,High,Vulgar,Confrontational and Crude,Hostile
"З трудом, але я вже це зробила, тепер мені похуй і це прекрасно",Medium,Defiant,Colloquial and Vulgar,Neutral
"блять, ну шо, без розчарувань взагалі ніяк?!",Medium,Frustrated,Informal and Insulting,Annoyance
та бо рілу дохуя всьогго,Medium,Exasperated,Casual with Vulgarity,Overwhelmed
"Рєбяткі, сорі за то, шо я така курва.",Medium,Apologetic,Insulting,Self-deprecating
"Ната, ти пізда",High,Aggressive,Confrontational and Insulting,Hostile
"типовий твітор українського початківця сієї соціялки: вакарчук, укрправда, мустафа, тимчук, аваков, сальцова і пару хуйових міст.",High,Dismissive,Confrontational and Insulting,Derisive
мене і так ніхто не трахне.,High,Self-deprecating,Vulgar,Despair
Та ну їх до сраки =),Medium,Dismissive,Casual and Vulgar,Frustrated
"всьо хуйня, вже втретє чую)",High,Dismissive,Confrontational and Insulting,Frustrated
"Якщо бажання нагодувати передує бажанню трахнути - це всьо, пиши пропало.",High,Dismissive,Vulgar and Demeaning,Contemptuous
Може кинути все нахуй і вступити на театральний?,Medium,Frustrated,Vulgar,Desperation
"всю їбучу родину дають в нарузку, всю блять ненависть",High,Aggressive,Vulgar and Offensive,Enraged
"Не зря, ой сука не зря зробив шенген на 5 років",Medium,Frustrated,Vulgar,Irritated
"Нахуя засирати тві своїми єбучими фотками, в той час коли ти вважаєш себе уродом?",High,Aggressive,Confrontational and Insulting,Derogatory
"А вобше мені потрібна людина, котра пиздитиме мене щоразу по кривих руках, примовляючи: «Бачиш?",High,Aggressive,Violent and Insulting,Self-deprecating
"Кажіть, що я можу більше, ніж та параша, яку я роблю зараз.",Medium,Frustrated,Informal and Derogatory,Discontent
"так, блять, де вічний двигун",Medium,Frustrated,Confrontational,Impatient
"Бандеролька в Америку йде майже два місяці, курва.",Medium,Frustrated,Informal and Insulting,Annoyed
"Молюсь, шоб та хуйня в мому рюкзаку не розлилася.",Medium,Frustrated,Informal and Profane,Anxious
"Але обережно - захопившись, можна послати нахуй взагалі всіх, і лишитись соціально непристосованим і самотнім.",High,Cautionary,Vulgar and Confrontational,Warning
сукаопять дежавю вже третє за два дні,High,Frustrated,Vulgar and Insulting,Annoyed
бля...індустрія гумових баб досягла досконалості!,Medium,Shocked,Informal and Vulgar,Neutral
"Та нє, вона на хуй пошле",High,Dismissive,Confrontational and Insulting,Hostile
"Курво, знай, коли я тебе побачу, тобі пизда.",High,Threatening,Aggressive and Insulting,Violent
"#hipster_love RT : в мене таке бажання когось трахнути, але інет тупить(((",High,Crude,Vulgar and Offensive,Frustrated
"Всіх похуй, але Севілья забила.",Medium,Dismissive,Casual and Insulting,Indifferent
Хуйлуша в ексклюзиві для блумберг стільки наговорив.,High,Derogatory,Insulting and Informal,Hostile
І блять хотілось би скоріше прокинутися.,Medium,Frustrated,Informal and Strong Language,Agitated
"Я тебе кохала день у день,А ти сука, олень.",High,Aggressive,Insulting,Betrayed
"Є така хуйня, яку важко пояснити",Medium,Frustrated,Colloquial and Vulgar,Annoyed
"тьфу блядь, отак одним махом все пересрати. ну зачєм?",High,Frustrated,Confrontational and Insulting,Hostile
"таваріщі, ну який нахуй порошенко.",Medium,Dismissive,Rude and Insulting,Disparaging
чай з м`ятою і медом. трошки кориці додай. і спати пиздуй.,Medium,Dismissive,Casual and Vulgar,Impatient
"*збирається у важливу путь*- ти повинен сказати щось, що надихне. - просто пиздуй.",Medium,Dismissive,Confrontational and Informal,Contemptuous
Сука блять які ж всі кончені,High,Aggressive,Offensive and Vulgar,Hostile
І який мудак засунув пакетик фрукиового чая до м'ятного?,Medium,Frustrated,Confrontational and Insulting,Annoyance
"Ну курва, тепер треба терміново поїсти сиру.",Medium,Agitated,Informal and Vulgar,Frustrated
"Рев'ю з ейчаром і тімлідом перетворилося на шквал компліментів і теплих слів, від яких я розчервонілася нахуй.",Medium,Emotional,Colloquial with Strong Language,Mixed
"Чуваки, я вирубилася,зараз прокинулася і мені до усрачки страшно.Здається,що зараз щось завітає.І Сані не можна подзвонити(БляБляБля.",Medium,Distressed,Colloquial and Vulgar,Fearful
"Не думала, що боляче намагатись бути поряд коли людині похуй,або ж кохати її",Medium,Resentful,Colloquial and Vulgar,Disheartened
"На майдані Руслана несе хуйню, точно таку як в старі добрі часи",High,Dismissive,Confrontational and Insulting,Hostile
"А ти такий 'ну і пиздуй, нащо ти мені здалась'.",High,Aggressive,Confrontational and Insulting,Hostile
"йобані пафосні уроди, от треба ж їм це робити в час пік, блять",High,Angry,Profane and Insulting,Hostile
Ну і пиздуй з мого мюзиклу)0)0),High,Aggressive,Confrontational and Insulting,Hostile
"ги, а нам хуй шо скасували)",High,Sarcastic,Confrontational and Insulting,Frustrated
"вася, ну шо за хуйню ти несеш, тіп мене репостнув",High,Exasperated,Confrontational and Insulting,Hostile
Може не поможе)0$А ти по молодшеньких?)0)А як же любов і вся хуйня?),High,Derisive,Confrontational and Vulgar,Disdainful
"блять, що це за дебільна ідея називати мінет їбанатським словом мінчик!",High,Aggressive,Confrontational and Insulting,Hostile
"блять, в мене навіть немає чувака для якого закидати історії, а потім перевіряти кожні 15 хв чи він подивився.дожилась.",Medium,Frustrated,Informal and Vulgar,Disheartened
"Я намагаюсь стримувати її мінімально, але, блядь, як же страшно",Medium,Distressed,Vulgar and Emotional,Anxious
"А якщо я звідси буду писати який Янукович хуй, мене також можуть заблокувати?",High,Provocative,Confrontational and Insulting,Hostile
"вибачте,я знаю,що президента обзивати не можна,і взагалі,я вихована студентка,але Янукович--тупий хуй.#євромайдан",High,Hostile and Insulting,Confrontational and Vulgar,Disrespectful
"назар і романтика:- блять, підійшла сюди, я тебе ще не обняв.",Medium,Dismissive,Informal and Insulting,Frustrated
"передку. і чомусь не вийобується тим. навіть не знаю чому. оте паскудне було. надривно-гівняне, чорне. гєрой блядь.",High,Aggressive,Confrontational and Insulting,Contemptuous
"ох, тримайся. в мене теж зараз період пиздеця, хай стане краще.",Medium,Sympathetic,Informal and Vulgar,Supportive
Якого хуя блять за 2 помилки 7 з 10,High,Frustrated,Confrontational and Insulting,Angry
"Атнять, дєліть, вєщать, бляхі, афшори, крадьот, діктатура, жьідьі, мєшают жьіть.",High,Aggressive,Offensive and Confrontational,Hostile
"А мені треба було виписати якусь чихню, якої НІДЕ, СУКА, НЕМАЄ, і від писанини спина боліла пздц",High,Frustrated,Confrontational and Vulgar,Angry
надра накрився пиздов і рівненський азот переводять вніманіє на сбєрбанк. сукафірташ.,High,Aggressive,Vulgar and Offensive,Angry
"Мені вот важко через те, що я впевненний що іншим поєбать на мене, і нахуй їм ще один дувбойоб здався",High,Frustrated and Dismissive,Vulgar and Insulting,Hostile
Бачити як Васіл ахуєває з того шо я творю під постуху це нєчьто.,Medium,Informal,Vulgar and Insulting,Disrespectful
"Задумалась над тим, шо я долбайоб, і йду лежати далі.",High,Self-deprecating,Vulgar,Negative
"дура тупаякого хєра було жерти той арахіс в йогурті, коли у тебе хворий зубі вобщє, ти на дієті",High,Aggressive,Confrontational and Insulting,Hostile
"Усе хуйня, а красива білизна - то святе.",Medium,Dismissive,Casual and Vulgar,Cynical
'жопа. навіть я колись це ім''я вживав) але я не дописав ту річ)',Medium,Informal,Casual and Vulgar,Frustration
Все забите школотою та студентами.,Medium,Disdainful,Informal and Insulting,Disparaging
"от і я про що. легше одного годувати, але класного. хай навіть не ідеального. ніж купу засранців і мудаків.",High,Dismissive,Confrontational and Insulting,Hostile
"ну то так. похуй, що антикорупціонєри прикупили хат – а ви бачили як Порошенко краде?",High,Dismissive,Confrontational and Vulgar,Deflecting Blame
"Я і не квжу, що йому похуй, чи зющо він неякісно зробив роботу.",High,Displeased,Confrontational and Disrespectful,Disdainful
Аж сука знести твіт руки зачесались.,High,Aggressive,Offensive and Vulgar,Hostile
Усвідомити всю їбанутість власних вчинків.,Medium,Critical,Vulgar,Disapproving
"RT Отако лиши мужиків самих, зразу якісь шлюхи знаходяться:)",High,Derogatory,Insulting,Disrespectful
"Нууууу пиздець, мусора у нас нічому не вчаться.",High,Frustrated,Vulgar and Disrespectful,Hostile
"4 рази прокидався ідумав, бля ти ідіот та поспи нормально, і засинав))0",Medium,Frustrated,Colloquial and Insulting,Irritated
- Я його послала нахуй!,High,Aggressive,Confrontational and Vulgar,Hostile
"та блять ноги витирають, а я терпіти маю",High,Frustrated,Confrontational and Insulting,Aggrieved
"ай трайд ту бі пьорфект бат насін воз ворс іт нахуйнахуй взагалі це все,  на   хуй",High,Frustrated,Vulgar and Aggressive,Angry
чого я блядь не йшла в пту щас би вже була флорістом,Medium,Frustrated,Profane,Regretful
Як від того блядського коньяку сушить.,High,Frustrated,Insulting,Disgust
Порівняв мене з нудною хуйньою.,High,Offensive,Confrontational and Insulting,Derogatory
"Злися на придурка-хазяïна, який не привчив його цього не робити.",Medium,Angry,Insulting,Frustrated
"хоча в мене жопа нічо так, але бля, ну всього ж має бути хоча би рівномірно((",Medium,Irritated,Casual with some Vulgarity,Frustrated
Сама чьотка фобія - то фобофобія.,Low,Humorous,Casual,Amused
"Пиздосіще, їбанутись можна, що за хуєта творитьсч",High,Aggressive,Vulgar and Insulting,Frustrated
"Ні тобі мокрих трусів, ні армії фанаток.",Medium,Sarcastic,Colloquial and Dismissive,Mocking
"Твою на ліво, ми в першому класі брехливо розповідали, як в садочку трахалися, а ти в 8-9.",High,Aggressive,Vulgar and Confrontational,Hostile
Нахуй ти палишВона там завжди,High,Aggressive,Confrontational and Insulting,Hostile
"ну бля, хуль в тебе сумління не спить?)",High,Accusatory,Confrontational and Insulting,Hostile
Просто зберігаю картинки і хуярю :D,High,Aggressive,Vulgar,Disrespectful
похуй. я офіційно на 4 курсі і в мене є стипендія. все решта - похуй,Medium,Dismissive,Vulgar and Casual,Indifferent
"Чи хоч Генріхом 8, інакше, що за хуйня",High,Dismissive,Confrontational and Insulting,Hostile
"якщо що, я не трахалася останній разок у березні",Medium,Informal,Vulgar,Neutral
"Аж передьоргує, коли шарю наскільки лох",Medium,Derogatory,Insulting and Disparaging,Contemptuous
ну є такий вид фанаток яким похуй на тебе,High,Dismissive,Confrontational and Insulting,Hostile
Твіттер до добра не доведе блять.,High,Negative,Confrontational and Insulting,Pessimistic
"чомусь є купа адекватних людей, які після дємбєля не бухають в формі і не розказуютб як трахали когось під Луганськом",High,Disdainful,Offensive and Vulgar,Disrespectful
"ну знаєш, то життє, хуй знає, шо генетика надумає)00)",Medium,Casual and Dismissive,Profane and Informal,Cynical
"я теж, але бля, той, кого хочу, або в іншій країні, або не хоче мене.",Medium,Frustrated,Casual and Potentially Offensive,Disappointed
"Папужки теж пролітають, бо пиздять більше, ніж бабки в черзі.",High,Mocking,Confrontational and Insulting,Disdainful
"Я:я в суботу ще поїду-я тебе блять поїду, тобі грошей ніхто не дасть.",High,Aggressive and Threatening,Confrontational and Insulting,Hostile
ну бо воно годне було хоть і хуйня,Medium,Dismissive,Casual and Insulting,Disdainful
"к хуям показавши зграї що зуби є, в порядку, гострі і мають щоденний догляд.",Medium,Aggressive,Crude,Defensive
"Знаєте шо, нахуй ідіть з вашою естетичною медициною.",High,Aggressive,Offensive and Confrontational,Hostile
